CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ACRELÂNDIA;Prefeito;VILSEU FERREIRA DA SILVA;11;PP;Eleito;3.507;48,57;AC;1200013
30;ASSIS BRASIL;Prefeito;MARIA ELIANE GADELHA CARIUS;13;PT;Eleito;1.798;58,59;AC;1200054
30;BRASILÉIA;Prefeito;ANA LEILA GALVÄO MAIA MOREIRA;13;PT;Eleito;7.345;65,41;AC;1200104
30;BUJARI;Prefeito;JOÃO EDVALDO TELES DE LIMA;15;PMDB;Eleito;2.894;53,20;AC;1200138
30;CAPIXABA;Prefeito;JOAIS DA SILVA DOS SANTOS;13;PT;Eleito;2.947;59,57;AC;1200179
30;CRUZEIRO DO SUL;Prefeito;VAGNER JOSE SALES;15;PMDB;Eleito;15.412;47,86;AC;1200203
30;EPITACIOLÂNDIA;Prefeito;JOSE RONALDO PESSOA PEREIRA;40;PSB;Eleito;2.424;34,42;AC;1200252
30;FEIJÓ;Prefeito;JOSÉ JUAREZ LEITÃO DOS SANTOS;13;PT;Eleito;5.746;50,40;AC;1200302
30;JORDÃO;Prefeito;HILARIO DE HOLANDA MELO;13;PT;Eleito;1.674;60,50;AC;1200328
30;MÂNCIO LIMA;Prefeito;CLEIDSON DE JESUS ROCHA;15;PMDB;Eleito;4.873;63,83;AC;1200336
30;MANOEL URBANO;Prefeito;MANOEL DA SILVA ALMEIDA;11;PP;Eleito;1.349;36,89;AC;1200344
30;MARECHAL THAUMATURGO;Prefeito;RANDSON OLIVEIRA ALMEIDA;15;PMDB;Eleito;3.009;54,84;AC;1200351
30;PLÁCIDO DE CASTRO;Prefeito;PAULO CESAR DA SILVA;13;PT;Eleito;4.361;47,00;AC;1200385
30;PORTO ACRE;Prefeito;JOSE MARIA RODRIGUES;13;PT;Eleito;2.408;30,72;AC;1200807
30;PORTO WALTER;Prefeito;NEUZARI CORREIA PINHEIRO;13;PT;Eleito;1.869;48,31;AC;1200393
30;RIO BRANCO;Prefeito;RAIMUNDO ANGELIM VASCONCELOS;13;PT;Eleito;80.022;50,82;AC;1200401
30;RODRIGUES ALVES;Prefeito;FRANCISCO ERNILSON DE FREITAS;13;PT;Eleito;2.28;35,80;AC;1200427
30;SANTA ROSA DO PURUS;Prefeito;JOSÉ BRASIL BARBOSA DA SILVA;13;PT;Eleito;671;47,02;AC;1200435
30;SENA MADUREIRA;Prefeito;NILSON ROBERTO AREAL DE ALMEIDA;22;PR;Eleito;9.555;53,73;AC;1200500
30;SENADOR GUIOMARD;Prefeito;JAMES PEREIRA DA SILVA;45;PSDB;Eleito;7.031;60,41;AC;1200450
30;TARAUACÁ;Prefeito;ERISVANDO TORQUATO DO NASCIMENTO;11;PP;Eleito;7.351;51,09;AC;1200609
30;XAPURI;Prefeito;FRANCISCO UBIRACY MACHADO DE VASCONCELOS;13;PT;Eleito;2.977;36,85;AC;1200708
