CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ÁGUA BRANCA;Prefeito;JOSE RODRIGUES GOMES;15;PMDB;Eleito;3.681;36,75;AL;2700102
30;ANADIA;Prefeito;SÂNIA TEREZA PALMEIRA BARROS TEIXEIRA;13;PT;Eleito;5.516;57,25;AL;2700201
30;ARAPIRACA;Prefeito;JOSÉ LUCIANO BARBOSA DA SILVA;15;PMDB;Eleito;81.144;91,07;AL;2700300
30;ATALAIA;Prefeito;FRANCISCO LUIZ DE ALBUQUERQUE;14;PTB;Eleito;10.3;47,87;AL;2700409
30;BARRA DE SANTO ANTÔNIO;Prefeito;MARIA CICERA MENDONÇA CASADO;14;PTB;Eleito;3.523;45,57;AL;2700508
30;BARRA DE SÃO MIGUEL;Prefeito;REGINALDO JOSÉ DE ANDRADE;14;PTB;Eleito;1.575;38,71;AL;2700607
30;BATALHA;Prefeito;PAULO SURUAGY DO AMARAL DANTAS;15;PMDB;Eleito;4.343;85,80;AL;2700706
30;BELÉM;Prefeito;VALMINEIDE VILAR MALTA BRANDÃO;33;PMN;Eleito;2.119;57,38;AL;2700805
30;BELO MONTE;Prefeito;ANTONIO AVANIO FEITOSA;11;PP;Eleito;2.203;56,27;AL;2700904
30;BOCA DA MATA;Prefeito;JOSÉ MAYNART TENÓRIO;15;PMDB;Eleito;8.132;54,68;AL;2701001
30;BRANQUINHA;Prefeito;ANA RENATA DA PURIFICAÇÃO MORAES;15;PMDB;Eleito;3.131;55,41;AL;2701100
30;CACIMBINHAS;Prefeito;ROBERTO FERREIRA WANDERLEY;15;PMDB;Eleito;3.055;59,59;AL;2701209
30;CAJUEIRO;Prefeito;ANTONIO PALMERY MELO NETO;14;PTB;Eleito;5.679;55,78;AL;2701308
30;CAMPESTRE;Prefeito;AMARO GILVAN DE CARVALHO;70;PT do B;Eleito;1.373;39,23;AL;2701357
30;CAMPO ALEGRE;Prefeito;JOSÉ MAURÍCIO TENÓRIO;14;PTB;Eleito;8.167;52,10;AL;2701407
30;CAMPO GRANDE;Prefeito;ARNALDO HIGINO LESSA;14;PTB;Eleito;3.459;57,59;AL;2701506
30;CANAPI;Prefeito;JOSÉ HERMES DE LIMA;14;PTB;Eleito;5.497;65,93;AL;2701605
30;CAPELA;Prefeito;JOÃO DE PAULA GOMES NETO;11;PP;Eleito;5.332;55,96;AL;2701704
30;CARNEIROS;Prefeito;GERALDO NOVAIS AGRA FILHO;15;PMDB;Eleito;2.669;65,58;AL;2701803
30;CHÃ PRETA;Prefeito;RITA COIMBRA CERQUEIRA TENORIO;33;PMN;Eleito;2.589;54,63;AL;2701902
30;COITÉ DO NÓIA;Prefeito;BUENO HIGINO DA SILVA;11;PP;Eleito;4.607;74,55;AL;2702009
30;COLÔNIA LEOPOLDINA;Prefeito;CÁSSIO ALEXANDRE REIS DE AMORIM URTIGA;12;PDT;Eleito;4.482;42,50;AL;2702108
30;COQUEIRO SECO;Prefeito;RENATO TADEU FRAGOSO E SILVA;14;PTB;Eleito;1.258;36,50;AL;2702207
30;CORURIPE;Prefeito;MARX BELTRAO LIMA SIQUEIRA;15;PMDB;Eleito;19.357;72,94;AL;2702306
