CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;PEDRA BRANCA DO AMAPARI;Prefeito;ANTONIO JOSÉ SIQUEIRA DA SILVA;43;PV;Eleito;1.807;47,40;AP;1600154
30;MACAPÁ;Prefeito;CARLOS CESAR DA SILVA;25;DEM;Eleito;2.105;46,63;AP;1600303
30;CALÇOENE;Prefeito;MARIA LUCIMAR DA SILVA LIMA;15;PMDB;Eleito;2.068;43,05;AP;1600204
30;CUTIAS;Prefeito;PAULO JOSE BRITO SILVA ALBUQUERQUE;45;PSDB;Eleito;1.272;45,09;AP;1600212
30;FERREIRA GOMES;Prefeito;VALDO ISACKSSON MONTEIRO;13;PT;Eleito;1.335;38,05;AP;1600238
30;ITAUBAL;Prefeito;MIRIVALDO DOS SANTOS COSTA;12;PDT;Eleito;1.174;36,23;AP;1600253
30;LARANJAL DO JARI;Prefeito;EURICELIA MELO CARDOSO;11;PP;Eleito;5.136;28,11;AP;1600279
30;MAZAGÃO;Prefeito;JOSÉ CARLOS CORRÊA DE CARVALHO;12;PDT;Eleito;3.975;43,30;AP;1600402
30;OIAPOQUE;Prefeito;RAIMUNDO AGUINALDO  CHAGAS DA ROCHA;11;PP;Eleito;4.56;49,81;AP;1600501
30;PORTO GRANDE;Prefeito;JOSÉ MARIA BESSA DE OLIVEIRA;12;PDT;Eleito;3.573;47,27;AP;1600535
30;PRACUÚBA;Prefeito;MOSANIEL PASSOS DOS SANTOS;15;PMDB;Eleito;1.293;56,17;AP;1600550
30;SANTANA;Prefeito;JOSE ANTONIO NOGUEIRA DE SOUSA;13;PT;Eleito;23.592;46,89;AP;1600600
30;SERRA DO NAVIO;Prefeito;FRANCIMAR PEREIRA DA SILVA SANTOS;13;PT;Eleito;1.231;50,22;AP;1600055
30;TARTARUGALZINHO;Prefeito;RILDO GOMES DE OLIVEIRA;15;PMDB;Eleito;2.965;56,57;AP;1600709
30;VITÓRIA DO JARI;Prefeito;LUIZ DE FRANÇA MAGALHÃES BARROSO;45;PSDB;Eleito;4.437;57,75;AP;1600808
