CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ALVARÃES;Prefeito;MÁRIO TOMÁS LITAIFF;15;PMDB;Eleito;2.417;38,90;AM;1300029
30;AMATURÁ;Prefeito;JOÃO BRAGA DIAS;13;PT;Eleito;1.671;51,98;AM;1300060
30;ANAMÃ;Prefeito;RAIMUNDO PINHEIRO DA SILVA;65;PC do B;Eleito;2.472;53,61;AM;1300086
30;ANORI;Prefeito;SANSURAY PEREIRA XAVIER;45;PSDB;Eleito;3.339;49,39;AM;1300102
30;APUÍ;Prefeito;ANTONIO MARCOS MACIEL FERNANDES;40;PSB;Eleito;3.346;53,18;AM;1300144
30;ATALAIA DO NORTE;Prefeito;ANETE PERES CASTRO PINTO;11;PP;Eleito;1.582;46,04;AM;1300201
30;AUTAZES;Prefeito;RAIMUNDO WANDERLAN PENALBER SAMPAIO;15;PMDB;Eleito;6.174;46,76;AM;1300300
30;BARCELOS;Prefeito;JOSE RIBAMAR FONTES BELEZA;15;PMDB;Eleito;3.005;50,20;AM;1300409
30;BARREIRINHA;Prefeito;MECIAS PEREIRA BATISTA;33;PMN;Eleito;3.666;33,10;AM;1300508
30;BENJAMIN CONSTANT;Prefeito;JOSÉ MARIA FREITAS DA SILVA JÚNIOR;22;PR;Eleito;7.284;63,06;AM;1300607
30;BERURI;Prefeito;JOSÉ DOMINGOS DE OLIVEIRA;11;PP;Eleito;2.135;42,21;AM;1300631
30;BOA VISTA DO RAMOS;Prefeito;ELMIR LIMA MOTA;20;PSC;Eleito;1.769;25,62;AM;#N/D
30;BOCA DO ACRE;Prefeito;MARIA DAS DORES OLIVEIRA MUNHOZ;22;PR;Eleito;7.186;55,32;AM;#N/D
30;BORBA;Prefeito;ANTONIO JOSE MUNIZ CAVALCANTE;15;PMDB;Eleito;7.66;60,17;AM;1300805
30;CAAPIRANGA;Prefeito;ANTONIO FERREIRA LIMA;15;PMDB;Eleito;2.746;56,16;AM;1300839
30;CANUTAMA;Prefeito;JOAO OCIVALDO BATISTA DE AMORIM;11;PP;Eleito;2.494;54,70;AM;1300904
30;CARAUARI;Prefeito;FRANCISCO COSTA DOS SANTOS;33;PMN;Eleito;6.17;57,15;AM;1301001
30;CAREIRO;Prefeito;JOEL RODRIGUES LOBO;25;DEM;Eleito;4.656;51,04;AM;1301100
30;CAREIRO DA VÁRZEA;Prefeito;RAIMUNDO NONATO DA SILVA;15;PMDB;Eleito;3.445;32,56;AM;1301159
30;COARI;Prefeito;RODRIGO ALVES DA COSTA;11;PP;Eleito;17.314;54,11;AM;1301209
30;CODAJÁS;Prefeito;AGNALDO DA PAZ DANTAS;15;PMDB;Eleito;4.511;46,99;AM;1301308
30;EIRUNEPÉ;Prefeito;FRANCISCO DAS CHAGAS DISSICA VALÉRIO TOMAZ;15;PMDB;Eleito;4.543;53,80;AM;#N/D
30;ENVIRA;Prefeito;RÔMULO BARBOSA MATTOS;23;PPS;Eleito;3.673;55,69;AM;1301506
30;FONTE BOA;Prefeito;ANTONIO GOMES FERREIRA;15;PMDB;Eleito;3.83;41,42;AM;1301605
30;GUAJARÁ;Prefeito;MANOEL HELIO ALVES DE PAULA;15;PMDB;Eleito;3.174;58,93;AM;1301654
30;HUMAITÁ;Prefeito;JOSÉ CIDENEI LOBO DO NASCIMENTO;15;PMDB;Eleito;9.962;54,51;AM;1301704
30;IPIXUNA;Prefeito;ANA MARIA FARIAS DE OLIVEIRA;25;DEM;Eleito;3.415;54,76;AM;1301803
30;IRANDUBA;Prefeito;RAYMUNDO NONATO LOPES;15;PMDB;Eleito;6.99;38,91;AM;1301852
30;ITACOATIARA;Prefeito;ANTONIO PEIXOTO DE OLIVEIRA;13;PT;Eleito;17.315;41,98;AM;1301902
30;ITAMARATI;Prefeito;JOAO MEDEIROS CAMPELO;15;PMDB;Eleito;2.019;54,16;AM;1301951
30;ITAPIRANGA;Prefeito;NADIEL SERRÃO DO NASCIMENTO;15;PMDB;Eleito;2.276;50,08;AM;1302009
30;JAPURÁ;Prefeito;MARIA ROSINEIDE MOURAO SOLARTE;15;PMDB;Eleito;492;92,48;AM;1302108
30;JURUÁ;Prefeito;EDEZIO FERREIRA DA SILVA;15;PMDB;Eleito;1.942;47,56;AM;1302207
30;JUTAÍ;Prefeito;ASCLEPÍADES COSTA DE SOUZA;22;PR;Eleito;3.31;45,95;AM;1302306
30;LÁBREA;Prefeito;GEAN CAMPOS DE BARROS;15;PMDB;Eleito;8.002;60,03;AM;1302405
30;MANACAPURU;Prefeito;EDSON BASTOS BESSA;15;PMDB;Eleito;19.153;46,15;AM;1302504
30;MANAQUIRI;Prefeito;JAIR AGUIAR SOUTO;15;PMDB;Eleito;4.874;56,09;AM;1302553
30;MANICORÉ;Prefeito;EMERSON PEDRACA DE FRANCA;15;PMDB;Eleito;5.914;36,86;AM;1302702
30;MARAÃ;Prefeito;DILMAR SANTOS AVILA;14;PTB;Eleito;2.685;49,85;AM;1302801
30;MAUÉS;Prefeito;ODIVALDO MIGUEL DE OLIVEIRA PAIVA;22;PR;Eleito;10.874;54,25;AM;1302900
30;NHAMUNDÁ;Prefeito;TOMAZ DE SOUZA PONTES;45;PSDB;Eleito;3.667;41,41;AM;1303007
30;NOVA OLINDA DO NORTE;Prefeito;ADENILSON LIMA REIS;15;PMDB;Eleito;4.902;73,34;AM;1303106
30;NOVO AIRÃO;Prefeito;LEOSVALDO ROQUE MIGUEIS;27;PSDC;Eleito;2.086;41,01;AM;1303205
30;NOVO ARIPUANÃ;Prefeito;AMINADAB MEIRA DE SANTANA;20;PSC;Eleito;1.808;39,08;AM;1303304
30;PARINTINS;Prefeito;FRANK LUIZ DA CUNHA GARCIA;45;PSDB;Eleito;20.304;49,82;AM;1303403
30;PAUINI;Prefeito;MARIA BARROSO DA COSTA;15;PMDB;Eleito;2.955;49,93;AM;1303502
30;PRESIDENTE FIGUEIREDO;Prefeito;ANTONIO FERNANDO FONTES VIEIRA;22;PR;Eleito;4;38,62;AM;1303536
30;RIO PRETO DA EVA;Prefeito;FULLVIO DA SILVA PINTO;23;PPS;Eleito;4.643;56,98;AM;1303569
30;SANTA ISABEL DO RIO NEGRO;Prefeito;ELIETE DA CUNHA BELEZA;22;PR;Eleito;1.75;47,46;AM;1303601
30;SANTO ANTÔNIO DO IÇÁ;Prefeito;ANTUNES BITAR RUAS;13;PT;Eleito;4.55;55,55;AM;1303700
30;SÃO GABRIEL DA CACHOEIRA;Prefeito;PEDRO GARCIA;13;PT;Eleito;6.366;51,68;AM;1303809
30;SÃO PAULO DE OLIVENÇA;Prefeito;RAIMUNDO NONATO SOUZA MARTINS;13;PT;Eleito;5.672;60,16;AM;1303908
30;SÃO SEBASTIÃO DO UATUMÃ;Prefeito;CARLOS DA SILVA AMORA;15;PMDB;Eleito;1.607;40,90;AM;1303957
30;TABATINGA;Prefeito;SAUL NUNES BEMERGUY;22;PR;Eleito;6.183;36,27;AM;1304062
30;TAPAUÁ;Prefeito;CLAUDIO GOMES DIAS;22;PR;Eleito;3.03;37,27;AM;1304104
30;TEFÉ;Prefeito;SIDONIO TRINDADE GONCALVES;31;PHS;Eleito;12.318;54,54;AM;1304203
30;TONANTINS;Prefeito;FABIO DA SILVA CABRAL;23;PPS;Eleito;2.293;43,84;AM;1304237
30;UARINI;Prefeito;FRANCISCO TOGO SOARES;22;PR;Eleito;2.208;50,07;AM;1304260
30;URUCARÁ;Prefeito;FERNANDO FALABELLA;15;PMDB;Eleito;2.918;39,43;AM;1304302
30;URUCURITUBA;Prefeito;EDIVALDO SILVA ARAÚJO;13;PT;Eleito;4.127;51,12;AM;1304401
31;MANAUS;Prefeito;AMAZONINO ARMANDO MENDES;14;PTB;Eleito;495.46;57,13;AM;1302603
