CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ABAÍRA;Prefeito;JOÃO HIPÓLITO RODRIGUES FILHO;14;PTB;Eleito;3.065;59,58;BA;2900108
30;ABARÉ;Prefeito;DELISIO OLIVEIRA DA SILVA;15;PMDB;Eleito;4.474;50,74;BA;2900207
30;ACAJUTIBA;Prefeito;ALEXSANDRO MENEZES DE FREITAS;15;PMDB;Eleito;4.261;54,18;BA;#N/D
30;ADUSTINA;Prefeito;MANOEL VIEIRA DE SANTANA;25;DEM;Eleito;4.835;53,64;BA;2900355
30;ÁGUA FRIA;Prefeito;ADAILTON NUNES DE SOUZA LEAO;11;PP;Eleito;3.045;36,15;BA;2900405
30;AIQUARA;Prefeito;JUTAHY SOUZA COSME;15;PMDB;Eleito;2.002;68,16;BA;2900603
30;ALAGOINHAS;Prefeito;PAULO CEZAR SIMOES SILVA;45;PSDB;Eleito;29.218;41,09;BA;2900702
30;ALCOBAÇA;Prefeito;LEONARDO COELHO BRITO;15;PMDB;Eleito;2.744;33,37;BA;2900801
30;ALMADINA;Prefeito;JOSÉ RAIMUNDO LAUDANO SANTOS;15;PMDB;Eleito;1.864;48,49;BA;#N/D
30;AMARGOSA;Prefeito;VALMIR ALMEIDA SAMPAIO;13;PT;Eleito;9.009;51,96;BA;2901007
30;AMÉLIA RODRIGUES;Prefeito;ANTONIO CARLOS PAIM CARDOSO;13;PT;Eleito;5.818;46,93;BA;2901106
30;AMÉRICA DOURADA;Prefeito;AGNALDO OLIVEIRA LOPES;15;PMDB;Eleito;5.687;65,03;BA;2901155
30;ANAGÉ;Prefeito;ELBSON DIAS SOARES;14;PTB;Eleito;6.065;48,14;BA;2901205
30;ANDARAÍ;Prefeito;WILSON PAES CARDOSO;40;PSB;Eleito;3.624;49,98;BA;2901304
30;ANDORINHA;Prefeito;AGILEU LIMA DA SILVA;25;DEM;Eleito;4.853;50,82;BA;2901353
30;ANGICAL;Prefeito;GILSON BEZERRA DE SOUZA;22;PR;Eleito;3.708;38,98;BA;2901403
30;ANGUERA;Prefeito;MAURO SELMO OLIVEIRA VIEIRA;15;PMDB;Eleito;3.682;54,12;BA;2901502
30;ANTAS;Prefeito;AGNALDO FELIX DOS SANTOS;11;PP;Eleito;4.778;59,40;BA;2901601
