CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ABAIARA;Prefeito;FRANCISCO JOAQUIM SAMPAIO;45;PSDB;Eleito;3.809;85,12;CE;2300101
30;ACARAPE;Prefeito;JOSÉ ACÉLIO PAULINO DE FREITAS;15;PMDB;Eleito;4.451;52,70;CE;2300150
30;ACARAÚ;Prefeito;PEDRO FONTELES DOS SANTOS;13;PT;Eleito;15.82;53,19;CE;2300200
30;ACOPIARA;Prefeito;ANTONIO ALMEIDA NETO;14;PTB;Eleito;14.829;53,81;CE;2300309
30;AIUABA;Prefeito;RAMILSON ARAÚJO MORAES;45;PSDB;Eleito;7.175;85,03;CE;2300408
30;ALCÂNTARAS;Prefeito;RAIMUNDO GOMES SOBRINHO;44;PRP;Eleito;3.254;52,93;CE;2300507
30;ALTANEIRA;Prefeito;ANTONIO DORIVAL DE OLIVEIRA;45;PSDB;Eleito;2.208;50,17;CE;2300606
30;ALTO SANTO;Prefeito;ADELMO QUEIROZ DE AQUINO;10;PRB;Eleito;5.867;62,53;CE;2300705
30;AMONTADA;Prefeito;EDIVALDO ASSIS DE JESUS;13;PT;Eleito;12.347;56,54;CE;2300754
30;ANTONINA DO NORTE;Prefeito;EDISON AFONSO DE CARVALHO;40;PSB;Eleito;2.473;51,13;CE;2300804
30;APUIARÉS;Prefeito;ROBERTO SAVIO GOMES DA SILVA;44;PRP;Eleito;4.733;50,73;CE;2300903
30;AQUIRAZ;Prefeito;EDSON SÁ;15;PMDB;Eleito;18.65;60,19;CE;2301000
30;ARACATI;Prefeito;EXPEDITO FERREIRA DA COSTA;11;PP;Eleito;19.881;50,72;CE;2301109
30;ARACOIABA;Prefeito;MARILENE CAMPÊLO NOGUEIRA;45;PSDB;Eleito;9.817;57,92;CE;2301208
30;ARARENDÁ;Prefeito;JOSE ADRIANO PAIVA DE AGUIAR;40;PSB;Eleito;3.492;54,00;CE;2301257
30;ARARIPE;Prefeito;JOSÉ HUMBERTO GERMANO CORREIA;45;PSDB;Eleito;7.151;58,35;CE;2301307
30;ARATUBA;Prefeito;JULIO CESAR LIMA BATISTA;22;PR;Eleito;4.281;55,13;CE;2301406
30;ARNEIROZ;Prefeito;ANTONIO MONTEIRO PEDROSA FILHO;15;PMDB;Eleito;2.646;53,45;CE;2301505
30;ASSARÉ;Prefeito;FRANCISCO EVANDERTO ALMEIDA;45;PSDB;Eleito;6.31;49,36;CE;2301604
30;AURORA;Prefeito;JOSE ADAILTON MACEDO;45;PSDB;Eleito;8.293;52,84;CE;2301703
30;BAIXIO;Prefeito;GLÓRIA ISABEL PIRES FERREIRA;15;PMDB;Eleito;1.686;41,95;CE;2301802
30;BANABUIÚ;Prefeito;VERIDIANO PEREIRA DE SALES;45;PSDB;Eleito;4.556;43,74;CE;2301851
30;BARBALHA;Prefeito;JOSÉ LEITE GONÇALVES CRUZ;13;PT;Eleito;15.554;53,58;CE;2301901
30;BARREIRA;Prefeito;ANTONIO PEIXOTO SALDANHA;15;PMDB;Eleito;4.674;36,80;CE;2301950
30;BARRO;Prefeito;JOSÉ MARQUINÉLIO TAVARES;25;DEM;Eleito;7.603;60,93;CE;2302008
30;BARROQUINHA;Prefeito;ADEMAR PINTO VERAS;14;PTB;Eleito;5.059;100,00;CE;2302057
30;BATURITÉ;Prefeito;SILVANA FURTADO DE FIGUEIREDO VASCONCELOS;45;PSDB;Eleito;9.285;83,32;CE;2302107
30;BEBERIBE;Prefeito;ODIVAR FACO;45;PSDB;Eleito;17.02;57,67;CE;2302206
30;BELA CRUZ;Prefeito;PEDRO ROGERIO MORAIS;45;PSDB;Eleito;7.97;49,07;CE;2302305
30;BOA VIAGEM;Prefeito;FERNANDO ANTONIO VIEIRA ASSEF;45;PSDB;Eleito;12.886;45,78;CE;2302404
30;BREJO SANTO;Prefeito;GUILHERME SAMPAIO LANDIM;40;PSB;Eleito;14.504;59,52;CE;2302503
