CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;AFONSO CLÁUDIO;Prefeito;WILSON BERGER COSTA;40;PSB;Eleito;7.914;41,55;ES;3200102
30;ÁGUA DOCE DO NORTE;Prefeito;ABRAÃO LINCON ELIZEU;15;PMDB;Eleito;4.74;73,67;ES;3200169
30;ÁGUIA BRANCA;Prefeito;ANGELO ANTONIO CORTELETTI;40;PSB;Eleito;2.841;46,35;ES;3200136
30;ALEGRE;Prefeito;DJALMA DA SILVA SANTOS;15;PMDB;Eleito;14.387;76,89;ES;3200201
30;ALFREDO CHAVES;Prefeito;FERNANDO VIDEIRA LAFAYETTE;40;PSB;Eleito;5.996;66,88;ES;3200300
30;ALTO RIO NOVO;Prefeito;EDSON SOARES BENFICA;23;PPS;Eleito;3.013;67,88;ES;3200359
30;ANCHIETA;Prefeito;EDIVAL JOSÉ PETRI;45;PSDB;Eleito;9.581;63,79;ES;3200409
30;APIACÁ;Prefeito;JOSE CHIERICI FILHO;15;PMDB;Eleito;2.696;51,35;ES;3200508
30;ARACRUZ;Prefeito;ADEMAR COUTINHO DEVENS;15;PMDB;Eleito;30.494;66,42;ES;3200607
30;ATÍLIO VIVÁCQUA;Prefeito;JOSE LUIZ TORRES LOPES;25;DEM;Eleito;3.747;55,94;ES;#N/D
30;BAIXO GUANDU;Prefeito;LASTENIO LUIZ CARDOSO;45;PSDB;Eleito;10.38;56,09;ES;3200805
30;BARRA DE SÃO FRANCISCO;Prefeito;WALDELES CAVALCANTE;20;PSC;Eleito;13.872;58,86;ES;3200904
30;BOA ESPERANÇA;Prefeito;ROMUALDO ANTONIO GAIGHER MILANESE;15;PMDB;Eleito;7.625;100,00;ES;3201001
30;BOM JESUS DO NORTE;Prefeito;ADSON AZEVEDO SALIM;45;PSDB;Eleito;3.562;52,34;ES;3201100
30;BREJETUBA;Prefeito;ITAMIR DE SOUZA CHARPINEL;25;DEM;Eleito;3.593;50,23;ES;3201159
30;CACHOEIRO DE ITAPEMIRIM;Prefeito;CARLOS ROBERTO CASTEGLIONE DIAS;13;PT;Eleito;49.698;49,60;ES;3201209
30;CARIACICA;Prefeito;HELDER IGNÁCIO SALOMÃO;13;PT;Eleito;128.219;70,89;ES;3201308
30;CASTELO;Prefeito;CLEONE GOMES DO NASCIMENTO;13;PT;Eleito;11.659;51,44;ES;3201407
30;COLATINA;Prefeito;LEONARDO DEPTULSKI;13;PT;Eleito;30.694;47,82;ES;3201506
30;CONCEIÇÃO DA BARRA;Prefeito;JORGE DUFFLES ANDRADE DONATI;45;PSDB;Eleito;6.23;39,92;ES;3201605
30;CONCEIÇÃO DO CASTELO;Prefeito;ODAEL SPADETO;15;PMDB;Eleito;3.413;50,47;ES;3201704
30;DIVINO DE SÃO LOURENÇO;Prefeito;MIGUEL LOURENÇO DA COSTA;15;PMDB;Eleito;1.99;56,76;ES;3201803
30;DOMINGOS MARTINS;Prefeito;WANZETE KRUGER;40;PSB;Eleito;13.732;66,16;ES;3201902
30;DORES DO RIO PRETO;Prefeito;CLAUDIA MARTINS BASTOS;45;PSDB;Eleito;2.802;56,76;ES;3202009
30;ECOPORANGA;Prefeito;ELIAS DAL COL;45;PSDB;Eleito;4.534;34,35;ES;3202108
30;FUNDÃO;Prefeito;MARCOS FERNANDO MORAES;12;PDT;Eleito;5.974;54,73;ES;3202207
30;GOVERNADOR LINDENBERG;Prefeito;ASTERVAL ANTONIO ALTOÉ;15;PMDB;Eleito;5.149;71,43;ES;3202256
30;GUAÇUÍ;Prefeito;VAGNER RODRIGUES PEREIRA;15;PMDB;Eleito;10.06;100,00;ES;3202306
30;GUARAPARI;Prefeito;EDSON FIGUEIREDO MAGALHÃES;23;PPS;Eleito;33.628;58,10;ES;3202405
30;IBATIBA;Prefeito;LINDON JONHSON ARRUDA PEREIRA;15;PMDB;Eleito;8.198;59,85;ES;3202454
30;IBIRAÇU;Prefeito;NACIENE LUZIA MODENESI VICENTE;25;DEM;Eleito;4.151;55,55;ES;3202504
30;IBITIRAMA;Prefeito;JAVAN DE OLIVEIRA SILVA;43;PV;Eleito;3.795;68,58;ES;3202553
30;ICONHA;Prefeito;DERCELINO MONGIN;11;PP;Eleito;4.887;56,15;ES;3202603
30;IRUPI;Prefeito;GERSELEI STORCK;25;DEM;Eleito;3.673;53,33;ES;3202652
30;ITAGUAÇU;Prefeito;ROMÁRIO CELSO BAZILIO DE SOUZA;45;PSDB;Eleito;5.847;61,51;ES;3202702
30;ITAPEMIRIM;Prefeito;NORMA AYUB ALVES;25;DEM;Eleito;13.792;71,24;ES;3202801
30;ITARANA;Prefeito;EDIVAN MENEGHEL;15;PMDB;Eleito;4.174;53,27;ES;3202900
30;IÚNA;Prefeito;JOSÉ RAMOS FURTADO;25;DEM;Eleito;6.658;41,64;ES;3203007
30;JAGUARÉ;Prefeito;EVILÁZIO SARTÓRIO ALTOÉ;45;PSDB;Eleito;8.255;54,77;ES;3203056
30;JERÔNIMO MONTEIRO;Prefeito;FRANCISCO ALCEMIR ROSSETO;45;PSDB;Eleito;3.456;49,22;ES;3203106
30;JOÃO NEIVA;Prefeito;LUIZ CARLOS PERUCHI;40;PSB;Eleito;5.989;56,79;ES;3203130
30;LARANJA DA TERRA;Prefeito;JOADIR LOURENÇO MARQUES;45;PSDB;Eleito;4.203;54,18;ES;3203163
30;LINHARES;Prefeito;GUERINO LUIZ ZANON;15;PMDB;Eleito;45.793;60,31;ES;3203205
30;MANTENÓPOLIS;Prefeito;EDUARDO ALVES CARNEIRO;13;PT;Eleito;4.207;55,09;ES;3203304
30;MARATAÍZES;Prefeito;JANDER NUNES VIDAL;45;PSDB;Eleito;8.974;47,11;ES;3203320
30;MARECHAL FLORIANO;Prefeito;ELIANE PAES LORENZONI;11;PP;Eleito;4.793;48,27;ES;3203346
30;MARILÂNDIA;Prefeito;GEDER CAMATA;10;PRB;Eleito;4.605;57,56;ES;3203353
30;MIMOSO DO SUL;Prefeito;ANGELO GUARÇONI JUNIOR;15;PMDB;Eleito;8.521;50,90;ES;3203403
30;MONTANHA;Prefeito;IRACY CARVALHO MACHADO BALTAR FERNANDES;45;PSDB;Eleito;5.457;56,83;ES;3203502
30;MUCURICI;Prefeito;ATANAEL PASSOS WAGMACKER;15;PMDB;Eleito;2.138;100,00;ES;3203601
30;MUNIZ FREIRE;Prefeito;EZANILTON DELSON DE OLIVEIRA;40;PSB;Eleito;7.442;68,65;ES;3203700
30;MUQUI;Prefeito;NICOLAU ESPIRIDIÃO NETO;40;PSB;Eleito;2.871;33,76;ES;3203809
30;NOVA VENÉCIA;Prefeito;WILSON LUIZ VENTURIM;11;PP;Eleito;11.854;46,22;ES;3203908
30;PANCAS;Prefeito;ANDRE CARDOSO DE CAMPOS;33;PMN;Eleito;4.357;35,92;ES;3204005
30;PEDRO CANÁRIO;Prefeito;MATEUS VASCONCELOS;14;PTB;Eleito;5.33;41,62;ES;3204054
30;PINHEIROS;Prefeito;ANTONIO CARLOS MACHADO;40;PSB;Eleito;7.356;58,83;ES;3204104
30;PIÚMA;Prefeito;JOSÉ RICARDO PEREIRA DA COSTA;22;PR;Eleito;5.857;60,28;ES;3204203
30;PONTO BELO;Prefeito;JAIME SANTOS OLIVEIRA JÚNIOR;15;PMDB;Eleito;3.53;72,99;ES;3204252
30;PRESIDENTE KENNEDY;Prefeito;REGINALDO DOS SANTOS QUINTA;14;PTB;Eleito;3.954;57,54;ES;3204302
30;RIO BANANAL;Prefeito;FELISMINO ARDIZZON;40;PSB;Eleito;5.58;50,33;ES;3204351
30;RIO NOVO DO SUL;Prefeito;ESTEVAM ANTÔNIO FIÓRIO;15;PMDB;Eleito;4.684;55,90;ES;3204401
30;SANTA LEOPOLDINA;Prefeito;RONALDO MARTINS PRUDÊNCIO;12;PDT;Eleito;3.598;42,48;ES;3204500
30;SANTA MARIA DE JETIBÁ;Prefeito;HILARIO ROEPKE;15;PMDB;Eleito;15.008;75,03;ES;3204559
30;SANTA TERESA;Prefeito;GILSON ANTONIO DE SALES AMARO;15;PMDB;Eleito;9.431;68,62;ES;3204609
30;SÃO DOMINGOS DO NORTE;Prefeito;ELISON CACIO CAMPOSTRINI;40;PSB;Eleito;3.329;56,33;ES;3204658
30;SÃO GABRIEL DA PALHA;Prefeito;RAQUEL FERREIRA MAGESTE LESSA;33;PMN;Eleito;12.348;65,75;ES;3204708
30;SÃO JOSÉ DO CALÇADO;Prefeito;JOSE CARLOS DE ALMEIDA;27;PSDC;Eleito;3.492;51,16;ES;3204807
30;SÃO MATEUS;Prefeito;AMADEU BOROTO;40;PSB;Eleito;28.108;52,17;ES;3204906
30;SÃO ROQUE DO CANAÃ;Prefeito;MARCOS GERALDO GUERRA;45;PSDB;Eleito;4.143;54,16;ES;3204955
30;SERRA;Prefeito;ANTONIO SERGIO ALVES VIDIGAL;12;PDT;Eleito;176.684;94,21;ES;3205002
30;SOORETAMA;Prefeito;JOANA DA CONCEIÇÃO RANGEL;40;PSB;Eleito;6.767;50,27;ES;3205010
30;VARGEM ALTA;Prefeito;ELIESER RABELLO;15;PMDB;Eleito;7.32;100,00;ES;3205036
30;VENDA NOVA DO IMIGRANTE;Prefeito;DALTON PERIM;15;PMDB;Eleito;5.932;51,41;ES;3205069
30;VIANA;Prefeito;ANGELA MARIA SIAS;15;PMDB;Eleito;16.148;48,18;ES;3205101
30;VILA PAVÃO;Prefeito;IVAN LAUER;15;PMDB;Eleito;3.177;51,32;ES;3205150
30;VILA VALÉRIO;Prefeito;EDERCIR FELIPE;40;PSB;Eleito;5.666;57,49;ES;3205176
30;VITÓRIA;Prefeito;JOAO CARLOS COSER;13;PT;Eleito;119.623;65,03;ES;3205309
31;VILA VELHA;Prefeito;NEUCIMAR FERREIRA FRAGA;22;PR;Eleito;108.476;52,43;ES;3205200
