CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ABADIA DE GOIÁS;Prefeito;VALDECI SALVIANO MENDONÇA;15;PMDB;Eleito;2.443;51,65;GO;5200050
30;ABADIÂNIA;Prefeito;ITAMAR VIEIRA GOMES;11;PP;Eleito;4.434;56,72;GO;5200100
30;ACREÚNA;Prefeito;WANDER CARLOS DE SOUZA;15;PMDB;Eleito;5.156;42,85;GO;5200134
30;ADELÂNDIA;Prefeito;VICTOR LEONARDO DE LIMA SOARES;15;PMDB;Eleito;1.238;58,04;GO;5200159
30;ÁGUA FRIA DE GOIÁS;Prefeito;JOÃO DE DEUS SILVA CARVALHO;23;PPS;Eleito;1.594;45,05;GO;5200175
30;ÁGUA LIMPA;Prefeito;VALDIR INACIO DO PRADO;45;PSDB;Eleito;1.124;62,76;GO;#N/D
30;ÁGUAS LINDAS DE GOIÁS;Prefeito;GERALDO MESSIAS QUEIROZ;11;PP;Eleito;19.895;42,61;GO;5200258
30;ALEXÂNIA;Prefeito;MARIA APARECIDA GOMES LIMA;45;PSDB;Eleito;7.124;49,30;GO;5200308
30;ALOÂNDIA;Prefeito;CASSIO VIEIRA SAMPAIO;45;PSDB;Eleito;883;51,04;GO;5200506
30;ALTO HORIZONTE;Prefeito;LUIZ BORGES DA CRUZ;45;PSDB;Eleito;2.409;100,00;GO;5200555
30;ALTO PARAÍSO DE GOIÁS;Prefeito;DIVALDO WILIAM RINCO;45;PSDB;Eleito;1.942;51,51;GO;5200605
30;ALVORADA DO NORTE;Prefeito;DAVID MOREIRA DE CARVALHO;45;PSDB;Eleito;3.354;74,29;GO;5200803
30;AMARALINA;Prefeito;DASIO MARQUES FERREIRA;45;PSDB;Eleito;1.274;56,67;GO;5200829
30;AMERICANO DO BRASIL;Prefeito;MORETSON DA SILVA BORGES;11;PP;Eleito;2.271;60,58;GO;5200852
30;AMORINÓPOLIS;Prefeito;SILVIO ISAC DE SOUZA;15;PMDB;Eleito;1.598;51,82;GO;5200902
30;ANHANGÜERA;Prefeito;WANDER PEREIRA DA CUNHA;14;PTB;Eleito;448;51,03;GO;#N/D
30;ANICUNS;Prefeito;MANOEL VICENTE VIEIRA;28;PRTB;Eleito;4.121;30,72;GO;5201306
30;APARECIDA DE GOIÂNIA;Prefeito;LUIZ ALBERTO MAGUITO VILELA;15;PMDB;Eleito;146.657;81,11;GO;5201405
30;APARECIDA DO RIO DOCE;Prefeito;ILTON JUSTINO DE SOUZA;45;PSDB;Eleito;1.134;55,48;GO;5201454
30;APORÉ;Prefeito;ANTONIO MELHADO SOBRINHO;45;PSDB;Eleito;1.339;51,58;GO;5201504
30;ARAÇU;Prefeito;JUAREZ VIEIRA DE SOUZA;25;DEM;Eleito;1.882;53,53;GO;5201603
30;ARAGARÇAS;Prefeito;MARCOS ANTONIO DE OLIVEIRA;13;PT;Eleito;5.558;54,45;GO;5201702
