CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;AÇAILÂNDIA;Prefeito;ILDEMAR GONÇALVES DOS SANTOS;45;PSDB;Eleito;30.733;58,03;MA;2100055
30;AFONSO CUNHA;Prefeito;JOSE LEANE DE PINHO BORGES;65;PC do B;Eleito;2.138;56,04;MA;2100105
30;ÁGUA DOCE DO MARANHÃO;Prefeito;JOSE ELIOMAR DA COSTA DIAS;15;PMDB;Eleito;3.557;50,45;MA;2100154
30;ALCÂNTARA;Prefeito;RAIMUNDO SOARES DO NASCIMENTO;25;DEM;Eleito;4.513;35,02;MA;2100204
30;ALDEIAS ALTAS;Prefeito;JOSÉ REIS NETO;12;PDT;Eleito;7.606;65,57;MA;2100303
30;ALTAMIRA DO MARANHÃO;Prefeito;ARNALDO GOMES DE SOUSA;13;PT;Eleito;2.131;52,03;MA;2100402
30;ALTO ALEGRE DO MARANHÃO;Prefeito;LIORNE BRANCO DE ALMEIDA JUNIOR;15;PMDB;Eleito;6.286;59,21;MA;2100436
30;ALTO ALEGRE DO PINDARÉ;Prefeito;ATENIR RIBEIRO MARQUES;28;PRTB;Eleito;7.053;50,12;MA;2100477
30;ALTO PARNAÍBA;Prefeito;ERNANI DO AMARAL SOARES;45;PSDB;Eleito;2.288;39,04;MA;2100501
30;AMAPÁ DO MARANHÃO;Prefeito;MILTON DA SILVA LEMOS;12;PDT;Eleito;2.399;62,72;MA;2100550
30;AMARANTE DO MARANHÃO;Prefeito;GILDASIO CHAVES RIBEIRO;12;PDT;Eleito;9.734;56,10;MA;2100600
30;ANAJATUBA;Prefeito;NILTON DA SILVA LIMA FILHO;43;PV;Eleito;6.119;44,57;MA;2100709
30;ANAPURUS;Prefeito;CLEOMALTINA MOREIRA MONTELES;10;PRB;Eleito;2.922;37,10;MA;2100808
30;APICUM-AÇU;Prefeito;SEBASTIÂO LOPES MONTEIRO;12;PDT;Eleito;3.554;48,33;MA;2100832
30;ARAGUANÃ;Prefeito;MARCIO REGINO MENDONÇA WEBA;25;DEM;Eleito;2.468;51,19;MA;2100873
30;ARAIOSES;Prefeito;LUCIANA MARÃO FELIX;45;PSDB;Eleito;9.664;75,31;MA;2100907
30;ARAME;Prefeito;JOÃO MENEZES DE SOUZA;12;PDT;Eleito;9.202;99,68;MA;2100956
30;ARARI;Prefeito;LEÃO SANTOS NETO;45;PSDB;Eleito;8.766;56,91;MA;2101004
30;AXIXÁ;Prefeito;MARIA SONIA OLIVEIRA CAMPOS;25;DEM;Eleito;3.784;100,00;MA;2101103
30;BACABAL;Prefeito;RAIMUNDO NONATO LISBOA;12;PDT;Eleito;25.706;55,37;MA;2101202
30;BACABEIRA;Prefeito;JOSE VENANCIO CORREA FILHO;25;DEM;Eleito;5.694;69,91;MA;2101251
30;BACURI;Prefeito;WASHINGTON LUIS DE OLIVEIRA;40;PSB;Eleito;4.881;53,27;MA;2101301
30;BACURITUBA;Prefeito;FILOMENA RIBEIRO BARROS;43;PV;Eleito;1.906;51,72;MA;2101350
30;BALSAS;Prefeito;FRANCISCO DE ASSIS MILHOMEM COELHO;12;PDT;Eleito;25.032;66,65;MA;2101400
30;BARÃO DE GRAJAÚ;Prefeito;RAIMUNDO NONATO E SILVA;15;PMDB;Eleito;4.657;51,27;MA;2101509
30;BARRA DO CORDA;Prefeito;MANOEL MARIANO DE SOUSA;43;PV;Eleito;20.902;54,00;MA;2101608
30;BARREIRINHAS;Prefeito;MILTON DIAS ROCHA FILHO;13;PT;Eleito;8.197;30,33;MA;2101707
30;BELA VISTA DO MARANHÃO;Prefeito;JOSE AUGUSTO SOUSA VELOSO;12;PDT;Eleito;2.929;51,26;MA;2101772
30;BELÁGUA;Prefeito;ADALBERTO DO NASCIMENTO RODRIGUES;13;PT;Eleito;1.956;55,71;MA;2101731
