CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ACORIZAL;Prefeito;MERALDO FIGUEIREDO DE SA;22;PR;Eleito;3.059;74,43;MT;5100102
30;ÁGUA BOA;Prefeito;MAURICIO CARDOSO TONHÁ;22;PR;Eleito;5.916;60,40;MT;5100201
30;ALTA FLORESTA;Prefeito;MARIA IZAURA DIAS ALFONSO;12;PDT;Eleito;11.592;42,89;MT;5100250
30;ALTO ARAGUAIA;Prefeito;ALCIDES BATISTA FILHO;13;PT;Eleito;3.379;38,72;MT;5100300
30;ALTO BOA VISTA;Prefeito;ALDECIDES MILHOMENS DE CIRQUEIRA;25;DEM;Eleito;1.328;45,00;MT;5100359
30;ALTO GARÇAS;Prefeito;ROLAND TRENTINI;25;DEM;Eleito;2.727;48,91;MT;5100409
30;ALTO PARAGUAI;Prefeito;ADAIR JOSÉ ALVES MOREIRA;15;PMDB;Eleito;1.645;35,57;MT;5100508
30;ALTO TAQUARI;Prefeito;MAURICIO JOEL DE SA;25;DEM;Eleito;2.116;54,17;MT;5100607
30;APIACÁS;Prefeito;SEBASTIÃO SILVA TRINDADE;25;DEM;Eleito;2.734;65,99;MT;5100805
30;ARAGUAIANA;Prefeito;PEDRO PASCHOAL RODRIGUES ALVARES;15;PMDB;Eleito;951;41,69;MT;5101001
30;ARAGUAINHA;Prefeito;ANTONIO PEREIRA DE OLIVEIRA;15;PMDB;Eleito;344;100,00;MT;5101209
30;ARAPUTANGA;Prefeito;VANO JOSÉ BATISTA;11;PP;Eleito;4.848;55,65;MT;5101258
30;ARENÁPOLIS;Prefeito;FARID TENÓRIO SANTOS;25;DEM;Eleito;2.523;66,41;MT;5101308
30;ARIPUANÃ;Prefeito;CARLOS ROBERTO TORREMOCHA;25;DEM;Eleito;5.093;54,09;MT;5101407
30;BARÃO DE MELGAÇO;Prefeito;MARCELO RIBEIRO ALVES;11;PP;Eleito;2.098;42,33;MT;5101605
30;BARRA DO BUGRES;Prefeito;WILSON FRANCELINO DE OLIVEIRA;12;PDT;Eleito;6.741;39,49;MT;5101704
30;BARRA DO GARÇAS;Prefeito;WANDERLEI FARIAS SANTOS;22;PR;Eleito;14.849;50,64;MT;5101803
30;BOM JESUS DO ARAGUAIA;Prefeito;ALOISIO IRINEO JAKOBY;25;DEM;Eleito;1.448;96,73;MT;5101852
30;BRASNORTE;Prefeito;MAURO RUI HEISLER;22;PR;Eleito;3.472;50,95;MT;5101902
30;CÁCERES;Prefeito;RICARDO LUIZ HENRY;11;PP;Eleito;21.343;49,23;MT;5102504
30;CAMPINÁPOLIS;Prefeito;ALTINO VIEIRA DE REZENDE FILHO;22;PR;Eleito;3.237;75,14;MT;5102603
30;CAMPO NOVO DO PARECIS;Prefeito;MAURO VALTER BERFT;15;PMDB;Eleito;4.877;40,16;MT;5102637
30;CAMPO VERDE;Prefeito;DIMORVAN ALENCAR BRESCANCIM;22;PR;Eleito;9.254;51,29;MT;5102678
30;CAMPOS DE JÚLIO;Prefeito;CLAIDES LAZARETTI MASUTTI;15;PMDB;Eleito;1.66;51,71;MT;5102686
