CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ÁGUA CLARA;Prefeito;EDVALDO ALVES DE QUEIROZ;12;PDT;Eleito;5.134;66,39;MS;5000203
30;ALCINÓPOLIS;Prefeito;MANOEL NUNES DA SILVA;22;PR;Eleito;1.749;63,76;MS;#N/D
30;AMAMBAI;Prefeito;DIRCEU LUIZ LANZARINI;22;PR;Eleito;8.913;52,05;MS;#N/D
30;ANASTÁCIO;Prefeito;CLÁUDIO VALÉRIO DA SILVA;15;PMDB;Eleito;7.101;55,87;MS;5000708
30;ANAURILÂNDIA;Prefeito;EDSON STEFANO TAKAZONO;15;PMDB;Eleito;2.63;51,17;MS;5000807
30;ANGÉLICA;Prefeito;JOÃO DONIZETI CASSUCI;12;PDT;Eleito;4.182;100,00;MS;5000856
30;ANTÔNIO JOÃO;Prefeito;JUNEIR MARTINEZ MARQUES;45;PSDB;Eleito;2.823;53,82;MS;5000906
30;APARECIDA DO TABOADO;Prefeito;ANDRÉ ALVES FERREIRA;15;PMDB;Eleito;6.378;51,17;MS;5001003
30;AQUIDAUANA;Prefeito;FAUZI MUHAMAD ABDUL HAMID SULEIMAN;15;PMDB;Eleito;15.316;61,11;MS;5001102
30;ARAL MOREIRA;Prefeito;EDSON LUIZ DE DAVID;14;PTB;Eleito;2.593;52,64;MS;5001243
30;BANDEIRANTES;Prefeito;FLÁVIO ADREANO GOMES;22;PR;Eleito;2.395;55,11;MS;5001508
30;BATAGUASSU;Prefeito;JOÃO CARLOS AQUINO LEMES;13;PT;Eleito;7.778;67,82;MS;5001904
30;BATAYPORÃ;Prefeito;EDSON PERES IBRAHIM;15;PMDB;Eleito;3.855;55,27;MS;5002001
30;BELA VISTA;Prefeito;FRANCISCO EMANOEL ALBUQUERQUE COSTA;13;PT;Eleito;5.497;43,38;MS;5002100
30;BODOQUENA;Prefeito;JUN ITI HADA;15;PMDB;Eleito;2.682;51,59;MS;5002159
30;BONITO;Prefeito;JOSÉ ARTHUR SOARES DE FIGUEIREDO;15;PMDB;Eleito;6.006;51,33;MS;5002209
30;BRASILÂNDIA;Prefeito;ANTONIO DA PÁDUA THIAGO;15;PMDB;Eleito;4.256;62,84;MS;5002308
30;CAARAPÓ;Prefeito;MATEUS PALMA DE FARIAS;22;PR;Eleito;9.864;77,12;MS;5002407
30;CAMAPUÃ;Prefeito;MARCELO PIMENTEL DUAILIBI;25;DEM;Eleito;6.148;65,48;MS;5002605
30;CAMPO GRANDE;Prefeito;NELSON TRAD FILHO;15;PMDB;Eleito;288.821;71,41;MS;5002704
30;CARACOL;Prefeito;MARIA ODETH CONSTÂNCIA LEITE DOS SANTOS;22;PR;Eleito;1.886;49,76;MS;5002803
30;CASSILÂNDIA;Prefeito;CARLOS AUGUSTO DA SILVA;25;DEM;Eleito;6.067;48,73;MS;5002902
30;CHAPADÃO DO SUL;Prefeito;JOCELITO KRUG;15;PMDB;Eleito;5.634;60,41;MS;5002951
30;CORGUINHO;Prefeito;UBALDO RIBEIRO LOPES;11;PP;Eleito;1.529;56,34;MS;5003108
30;CORONEL SAPUCAIA;Prefeito;RUDI PAETZOLD;15;PMDB;Eleito;3.72;50,39;MS;5003157
30;CORUMBÁ;Prefeito;RUITER CUNHA DE OLIVEIRA;13;PT;Eleito;39.88;81,31;MS;5003207
30;COSTA RICA;Prefeito;JESUS QUEIROZ BAIRD;15;PMDB;Eleito;6.388;58,01;MS;5003256
30;COXIM;Prefeito;DINALVA GARCIA LEMOS DE MORAIS MOURÃO;15;PMDB;Eleito;11.52;61,83;MS;5003306
30;DEODÁPOLIS;Prefeito;MANOEL JOSE MARTINS;45;PSDB;Eleito;3.573;50,57;MS;5003454
30;DOIS IRMÃOS DO BURITI;Prefeito;WLADEMIR DE SOUZA VOLK;13;PT;Eleito;5.583;100,00;MS;5003488
30;DOURADINA;Prefeito;DARCY FREIRE;12;PDT;Eleito;1.824;57,50;MS;5003504
30;DOURADOS;Prefeito;ARI VALDECIR ARTUZI;12;PDT;Eleito;45.182;42,38;MS;5003702
30;ELDORADO;Prefeito;MARTA MARIA DE ARAUJO;12;PDT;Eleito;4.125;55,73;MS;5003751
30;FÁTIMA DO SUL;Prefeito;ILDA SALGADO MACHADO;22;PR;Eleito;7.481;58,90;MS;5003801
30;FIGUEIRÃO;Prefeito;GETÚLIO FURTADO BARBOSA;15;PMDB;Eleito;882;50,54;MS;5003900
30;GLÓRIA DE DOURADOS;Prefeito;ARCENO ATHAS JUNIOR;40;PSB;Eleito;3.12;52,39;MS;5004007
30;GUIA LOPES DA LAGUNA;Prefeito;JÁCOMO DAGOSTIN;15;PMDB;Eleito;3.293;55,37;MS;5004106
30;IGUATEMI;Prefeito;JOSE ROBERTO FELIPPE ARCOVERDE;45;PSDB;Eleito;4.641;55,01;MS;5004304
30;INOCÊNCIA;Prefeito;ANTONIO ANGELO GARCIA DOS SANTOS;25;DEM;Eleito;2.883;59,26;MS;5004403
30;ITAPORÃ;Prefeito;MARCOS ANTONIO PACO;15;PMDB;Eleito;5.865;56,79;MS;5004502
30;ITAQUIRAÍ;Prefeito;SANDRA CARDOSO MARTINS CASSONE;13;PT;Eleito;5.088;52,00;MS;5004601
30;IVINHEMA;Prefeito;RENATO PIERETTI CÂMARA;15;PMDB;Eleito;9.176;100,00;MS;5004700
30;JAPORÃ;Prefeito;RUBENS FREIRE MARINHO;13;PT;Eleito;1.937;52,45;MS;5004809
30;JARAGUARI;Prefeito;ALBERTINO NUNES FERREIRA;12;PDT;Eleito;1.932;45,84;MS;5004908
30;JARDIM;Prefeito;EVANDRO ANTONIO BAZZO;45;PSDB;Eleito;7.492;55,97;MS;5005004
30;JATEÍ;Prefeito;ARILSON NASCIMENTO TARGINO;45;PSDB;Eleito;1.546;50,92;MS;5005103
30;JUTI;Prefeito;RICARDO JUSTINO LOPES;45;PSDB;Eleito;2.291;63,36;MS;5005152
30;LADÁRIO;Prefeito;JOSÉ ANTÔNIO ASSAD E FARIA;13;PT;Eleito;5.098;57,40;MS;5005202
30;LAGUNA CARAPÃ;Prefeito;OSCAR LUIZ PEREIRA BRANDÃO;25;DEM;Eleito;2.034;55,14;MS;5005251
30;MARACAJU;Prefeito;CELSO LUIZ DA SILVA VARGAS;14;PTB;Eleito;9.975;52,99;MS;5005400
30;MIRANDA;Prefeito;NEDER AFONSO DA COSTA VEDOVATO;40;PSB;Eleito;8.389;59,14;MS;5005608
30;MUNDO NOVO;Prefeito;ANTONIO CAVALCANTE;15;PMDB;Eleito;4.523;46,68;MS;5005681
30;NAVIRAÍ;Prefeito;ZELMO DE BRIDA;15;PMDB;Eleito;14.188;56,26;MS;5005707
30;NIOAQUE;Prefeito;ILCA CORRAL MENDES DOMINGOS;15;PMDB;Eleito;3.983;85,38;MS;5005806
30;NOVA ALVORADA DO SUL;Prefeito;ARLEI SILVA BARBOSA;13;PT;Eleito;5;60,01;MS;5006002
30;NOVA ANDRADINA;Prefeito;JOSE GILBERTO GARCIA;15;PMDB;Eleito;12.259;51,75;MS;5006200
30;NOVO HORIZONTE DO SUL;Prefeito;MARCILIO ALVARO BENEDITO;15;PMDB;Eleito;1.625;54,51;MS;5006259
30;PARANAÍBA;Prefeito;JOSÉ GARCIA DE FREITAS;12;PDT;Eleito;12.968;55,69;MS;5006309
30;PARANHOS;Prefeito;DIRCEU BETTONI;45;PSDB;Eleito;3.126;61,74;MS;5006358
30;PEDRO GOMES;Prefeito;MAURA TEODORO JAJAH;15;PMDB;Eleito;2.686;51,72;MS;5006408
30;PONTA PORÃ;Prefeito;FLAVIO ESGAIB KAYATT;45;PSDB;Eleito;29.96;76,38;MS;5006606
30;PORTO MURTINHO;Prefeito;NELSON CINTRA RIBEIRO;45;PSDB;Eleito;3.511;50,09;MS;5006903
30;RIBAS DO RIO PARDO;Prefeito;ROBERSON LUIZ MOUREIRA;23;PPS;Eleito;5.061;52,23;MS;5007109
30;RIO BRILHANTE;Prefeito;DONATO LOPES DA SILVA;45;PSDB;Eleito;11.007;71,71;MS;5007208
30;RIO NEGRO;Prefeito;JOACI NONATO REZENDE;13;PT;Eleito;1.91;55,60;MS;5007307
30;RIO VERDE DE MATO GROSSO;Prefeito;WILIAM DOUGLAS DE SOUZA BRITO;23;PPS;Eleito;5.72;52,56;MS;5007406
30;ROCHEDO;Prefeito;ADAO PEDRO ARANTES;12;PDT;Eleito;994;33,26;MS;5007505
30;SANTA RITA DO PARDO;Prefeito;ELEDIR BARCELOS DE SOUZA;13;PT;Eleito;2.077;51,86;MS;5007554
30;SÃO GABRIEL DO OESTE;Prefeito;SERGIO LUIZ MARCON;45;PSDB;Eleito;4.827;39,63;MS;5007695
30;SELVÍRIA;Prefeito;JOSÉ DODO DA ROCHA;14;PTB;Eleito;2.349;57,21;MS;5007802
30;SETE QUEDAS;Prefeito;SÉRGIO ROBERTO MENDES;12;PDT;Eleito;3.489;100,00;MS;5007703
30;SIDROLÂNDIA;Prefeito;DALTRO FIUZA;15;PMDB;Eleito;10.141;50,39;MS;5007901
30;SONORA;Prefeito;ZELIR ANTONIO MAGGIONI;15;PMDB;Eleito;5.529;92,55;MS;5007935
30;TACURU;Prefeito;CLAUDIO ROCHA BARCELOS;22;PR;Eleito;3.358;65,97;MS;5007950
30;TAQUARUSSU;Prefeito;VERONICA FERREIRA LIMA;22;PR;Eleito;1.318;54,80;MS;5007976
30;TERENOS;Prefeito;HUMBERTO REZENDE PEREIRA;15;PMDB;Eleito;6.633;77,41;MS;5008008
30;TRÊS LAGOAS;Prefeito;SIMONE NASSAR TEBET ROCHA;15;PMDB;Eleito;36.228;76,81;MS;5008305
30;VICENTINA;Prefeito;MARCOS BENEDETTI HERMENEGILDO;15;PMDB;Eleito;2.873;76,13;MS;5008404
