CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ABADIA DOS DOURADOS;Prefeito;CATIA MARIA DE AGUIAR LEMES;25;DEM;Eleito;2.473;54,01;MG;3100104
30;ABAETÉ;Prefeito;CLAUDIO DE SOUSA VALADARES;45;PSDB;Eleito;9.999;68,66;MG;3100203
30;ABRE CAMPO;Prefeito;DAVIS ANTÔNIO CARDOSO JÚNIOR;45;PSDB;Eleito;4.618;51,34;MG;3100302
30;ACAIACA;Prefeito;JOÃO DO CARMO MACEDO;13;PT;Eleito;1.478;52,01;MG;3100401
30;AÇUCENA;Prefeito;ADEMIR JOSE SIMAN;13;PT;Eleito;3.608;62,44;MG;3100500
30;ÁGUA BOA;Prefeito;CARLOS MAGNO FERREIRA;43;PV;Eleito;4.271;52,03;MG;3100609
30;ÁGUA COMPRIDA;Prefeito;JOÃO ANIVALDO OLIVEIRA;45;PSDB;Eleito;998;52,92;MG;3100708
30;AGUANIL;Prefeito;SEBASTIAO ELOI DE SOUZA CAMPOS;13;PT;Eleito;1.666;54,52;MG;3100807
30;ÁGUAS FORMOSAS;Prefeito;FABIO CARVALHO CORREIA;20;PSC;Eleito;3.81;38,16;MG;3100906
30;ÁGUAS VERMELHAS;Prefeito;VALDECY JOSE DE SOUZA;22;PR;Eleito;3.749;55,44;MG;3101003
30;AIMORÉS;Prefeito;MARCELO MARQUES;15;PMDB;Eleito;7.236;51,55;MG;3101102
30;AIURUOCA;Prefeito;JOSÉ NELSON LOPES;17;PSL;Eleito;1.964;50,17;MG;3101201
30;ALAGOA;Prefeito;SEBASTIAO MENDES PINTO NETO;45;PSDB;Eleito;1.233;59,34;MG;3101300
30;ALBERTINA;Prefeito;NOEMI SIMIONATTO GUINESI;14;PTB;Eleito;1.102;56,80;MG;3101409
30;ALÉM PARAÍBA;Prefeito;WOLNEY FREITAS;15;PMDB;Eleito;11.937;56,08;MG;3101508
30;ALFENAS;Prefeito;POMPILIO DE LOURDES CANAVEZ;13;PT;Eleito;19.193;46,85;MG;3101607
30;ALFREDO VASCONCELOS;Prefeito;OLACIR ELY DA SILVA;11;PP;Eleito;2.442;61,03;MG;3101631
30;ALMENARA;Prefeito;CARLOS LUIZ DE NOVAES;12;PDT;Eleito;11.126;55,14;MG;3101706
30;ALPERCATA;Prefeito;DORACY DE SA;20;PSC;Eleito;2.186;45,36;MG;#N/D
30;ALPINÓPOLIS;Prefeito;EDSON LUIZ REZENDE REIS;25;DEM;Eleito;5.886;50,24;MG;3101904
30;ALTEROSA;Prefeito;MARCELO NUNES DE SOUZA;45;PSDB;Eleito;5.093;57,05;MG;3102001
30;ALTO CAPARAÓ;Prefeito;JOSÉ JACOMEL JÚNIOR;45;PSDB;Eleito;1.991;72,03;MG;3102050
30;ALTO JEQUITIBÁ;Prefeito;DANIEL GUIMARAES SATHLER;15;PMDB;Eleito;3.29;58,16;MG;3153509
30;ALTO RIO DOCE;Prefeito;MARIA DE LOURDES PAIVA OLIVEIRA MOREIRA;23;PPS;Eleito;4.373;53,28;MG;3102100
30;ALVARENGA;Prefeito;MARIA IZABEL DA SILVA NETO;13;PT;Eleito;1.622;50,39;MG;3102209
30;ALVINÓPOLIS;Prefeito;JOAO BATISTA MATEUS DE MORAES;14;PTB;Eleito;5.68;56,12;MG;3102308
30;ALVORADA DE MINAS;Prefeito;VALTER ANTONIO COSTA;22;PR;Eleito;1.184;45,89;MG;3102407
30;AMPARO DO SERRA;Prefeito;ASTOLFO GOMES FUSCALDI;11;PP;Eleito;1.899;52,18;MG;3102506
30;ANDRADAS;Prefeito;ADEMIR DOS SANTOS PERES;13;PT;Eleito;11.974;56,62;MG;3102605
30;ANDRELÂNDIA;Prefeito;SAMUEL ISAC FONSECA;45;PSDB;Eleito;4.624;60,71;MG;3102803
30;ANGELÂNDIA;Prefeito;ZELIA CARDOSO DE SOUZA;45;PSDB;Eleito;2.883;91,29;MG;3102852
30;ANTÔNIO CARLOS;Prefeito;ARACI CRISTINA ARAUJO CARVALHO;12;PDT;Eleito;4.292;56,92;MG;3102902
30;ANTÔNIO DIAS;Prefeito;TENÓRIO ROSA ARAUJO;25;DEM;Eleito;3.55;52,78;MG;3103009
