CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ABAETETUBA;Prefeito;FRANCINETI MARIA RODRIGUES CARVALHO;45;PSDB;Eleito;30.59;44,29;PA;1500107
30;ABEL FIGUEIREDO;Prefeito;HILDEFONSO DE ABREU ARAUJO;11;PP;Eleito;2.455;100,00;PA;1500131
30;ACARÁ;Prefeito;FRANCISCA MARTINS OLIVEIRA E SILVA;11;PP;Eleito;12.492;52,85;PA;1500206
30;AFUÁ;Prefeito;ODIMAR WANDERLEY SALOMAO;45;PSDB;Eleito;6.436;50,00;PA;1500305
30;ÁGUA AZUL DO NORTE;Prefeito;RENAN LOPES SOUTO;15;PMDB;Eleito;2.937;42,41;PA;1500347
30;ALENQUER;Prefeito;JOÃO DAMASCENO FILGUEIRAS;25;DEM;Eleito;9.023;38,41;PA;1500404
30;ALMEIRIM;Prefeito;JOSÉ BOTELHO DOS SANTOS;13;PT;Eleito;3.819;45,58;PA;1500503
30;ALTAMIRA;Prefeito;ODILEIDA MARIA SOUSA SAMPAIO;45;PSDB;Eleito;22.958;51,42;PA;1500602
30;ANAJÁS;Prefeito;EDSON DA SILVA BARROS;14;PTB;Eleito;6.277;100,00;PA;1500701
30;ANANINDEUA;Prefeito;HELDER ZAHLUTH BARBALHO;15;PMDB;Eleito;93.493;50,17;PA;1500800
30;ANAPU;Prefeito;FRANCISCO DE ASSIS DOS SANTOS SOUSA;13;PT;Eleito;2.558;30,24;PA;1500859
30;AUGUSTO CORRÊA;Prefeito;AMÓS BEZERRA DA SILVA;15;PMDB;Eleito;10.639;50,40;PA;1500909
30;AURORA DO PARÁ;Prefeito;MARCIO RICARDO BORGES DA SILVA;22;PR;Eleito;7.41;59,55;PA;1500958
30;AVEIRO;Prefeito;MARIA GORETE DANTAS XAVIER;14;PTB;Eleito;3.446;73,74;PA;1501006
30;BAGRE;Prefeito;CLEDSON FARIAS LOBATO RODRIGUES;10;PRB;Eleito;3.946;100,00;PA;#N/D
30;BAIÃO;Prefeito;NILTON LOPES DE FARIAS;13;PT;Eleito;7.875;50,86;PA;1501204
30;BANNACH;Prefeito;VALBETÂNIO BARBOSA MILHOMEM;40;PSB;Eleito;1.086;68,22;PA;1501253
30;BARCARENA;Prefeito;JOAO CARLOS DOS SANTOS DIAS;11;PP;Eleito;21.218;44,94;PA;1501303
30;BELTERRA;Prefeito;GERALDO IRINEU PASTANA DE OLIVEIRA;13;PT;Eleito;5.36;52,63;PA;1501451
30;BENEVIDES;Prefeito;EDIMAURO RAMOS DE FARIA;22;PR;Eleito;8.517;35,43;PA;1501501
30;BOM JESUS DO TOCANTINS;Prefeito;SIDNEY MOREIRA DE SOUZA;13;PT;Eleito;3.29;79,99;PA;1501576
30;BONITO;Prefeito;ANTONIO CORREA NETO;22;PR;Eleito;3.662;51,06;PA;1501600
30;BRAGANÇA;Prefeito;EDSON LUIZ DE OLIVEIRA;15;PMDB;Eleito;20.852;40,00;PA;1501709
30;BRASIL NOVO;Prefeito;JOSÉ CARLOS CAETANO;22;PR;Eleito;4.845;50,59;PA;1501725
30;BREJO GRANDE DO ARAGUAIA;Prefeito;GERALDO FRANCISCO DE MORAIS;15;PMDB;Eleito;2.753;64,23;PA;1501758
30;BREU BRANCO;Prefeito;EGON KOLLING;22;PR;Eleito;15.055;75,23;PA;1501782
30;BREVES;Prefeito;JOSÉ ANTONIO AZEVEDO LEÃO;15;PMDB;Eleito;17.108;50,14;PA;1501808
30;BUJARU;Prefeito;MARIA ANTONIA DA SILVA COSTA;15;PMDB;Eleito;6.676;54,45;PA;1501907
30;CACHOEIRA DO ARARI;Prefeito;JAIME DA SILVA BARBOSA;15;PMDB;Eleito;7.665;71,39;PA;1502004
30;CACHOEIRA DO PIRIÁ;Prefeito;ALBENOR BEZERRA PONTES;15;PMDB;Eleito;4.284;100,00;PA;1501956
30;CAMETÁ;Prefeito;JOSÉ WALDOLI FILGUEIRA VALENTE;25;DEM;Eleito;28.739;54,92;PA;#N/D
30;CANAÃ DOS CARAJÁS;Prefeito;ANUAR ALVES DA SILVA;12;PDT;Eleito;4.974;33,07;PA;1502152
30;CAPANEMA;Prefeito;ESLON AGUIAR MARTINS;22;PR;Eleito;22.329;63,23;PA;1502202
30;CAPITÃO POÇO;Prefeito;ANTONIA DIANA MOTA DE OLIVEIRA;11;PP;Eleito;11.011;42,48;PA;1502301
30;CASTANHAL;Prefeito;HÉLIO LEITE DA SILVA;22;PR;Eleito;61.444;77,43;PA;1502400
30;CHAVES;Prefeito;UBIRATAN DE ALMEIDA BARBOSA;12;PDT;Eleito;3.463;43,54;PA;#N/D
30;COLARES;Prefeito;IVANITO MONTEIRO GONÇALVES;22;PR;Eleito;2.508;35,75;PA;1502608
30;CONCEIÇÃO DO ARAGUAIA;Prefeito;ALVARO BRITO XAVIER;13;PT;Eleito;9.854;100,00;PA;1502707
30;CONCÓRDIA DO PARÁ;Prefeito;ELIAS GUIMARAES SANTIAGO;13;PT;Eleito;6.684;53,51;PA;1502756
30;CUMARU DO NORTE;Prefeito;VILMAR FARIAS VALIM;12;PDT;Eleito;2.255;52,88;PA;1502764
30;CURIONÓPOLIS;Prefeito;WENDERSON AZEVEDO CHAMON;15;PMDB;Eleito;5.499;53,34;PA;1502772
30;CURRALINHO;Prefeito;MIGUEL PEDRO PUREZA SANTA MARIA;45;PSDB;Eleito;5.12;45,94;PA;#N/D
