CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ÁGUA BRANCA;Prefeito;AROUDO FIRMINO BATISTA;25;DEM;Eleito;2.513;51,95;PB;2500106
30;AGUIAR;Prefeito;MANOEL BATISTA GUEDES FILHO;11;PP;Eleito;2.232;60,00;PB;2500205
30;ALAGOA GRANDE;Prefeito;JOÃO BOSCO CARNEIRO JÚNIOR;23;PPS;Eleito;8.26;50,43;PB;2500304
30;ALAGOA NOVA;Prefeito;KLEBER HERCULANO DE MORAES;15;PMDB;Eleito;4.641;41,57;PB;2500403
30;ALAGOINHA;Prefeito;ALCIONE MARACAJÁ DE MORAIS BELTRÃO;31;PHS;Eleito;4.146;55,20;PB;2500502
30;ALCANTIL;Prefeito;JOSÉ MILTON RODRIGUES;15;PMDB;Eleito;1.845;52,39;PB;2500536
30;ALGODÃO DE JANDAÍRA;Prefeito;ISAC RODRIGO ALVES;15;PMDB;Eleito;1.424;71,31;PB;2500577
30;ALHANDRA;Prefeito;RENATO MENDES LEITE;25;DEM;Eleito;6.654;56,87;PB;2500601
30;AMPARO;Prefeito;JOÃO LUIS DE LACERDA JÚNIOR;12;PDT;Eleito;896;50,34;PB;2500734
30;APARECIDA;Prefeito;DEUSIMAR PIRES FERREIRA;45;PSDB;Eleito;2.828;57,74;PB;2500775
30;ARAÇAGI;Prefeito;ONILDO CAMARA FILHO;10;PRB;Eleito;3.725;37,70;PB;2500809
30;ARARA;Prefeito;JOSÉ ERNESTO DOS SANTOS SOBRINHO;15;PMDB;Eleito;3.557;54,99;PB;2500908
30;ARARUNA;Prefeito;WILMA TARGINO MARANHÃO;15;PMDB;Eleito;5.417;53,75;PB;2501005
30;AREIA;Prefeito;ELSON DA CUNHA LIMA FILHO;25;DEM;Eleito;6.602;48,51;PB;2501104
30;AREIA DE BARAÚNAS;Prefeito;VANDERLITA GUEDES PEREIRA;45;PSDB;Eleito;913;61,07;PB;2501153
30;AREIAL;Prefeito;ADELSON GONÇALVES BENJAMIN;45;PSDB;Eleito;2.569;62,43;PB;2501203
30;AROEIRAS;Prefeito;GILSEPPE DE OLIVEIRA SOUSA;15;PMDB;Eleito;5.78;50,12;PB;2501302
30;ASSUNÇÃO;Prefeito;LUIZ WALDVOGEL  DE OLIVEIRA SANTOS;14;PTB;Eleito;1.663;62,68;PB;2501351
30;BAÍA DA TRAIÇÃO;Prefeito;JOSÉ ALBERTO DIAS FREIRE;15;PMDB;Eleito;2.687;62,75;PB;2501401
30;BANANEIRAS;Prefeito;MARTA ELEONORA ARAGAO RAMALHO;25;DEM;Eleito;5.749;45,59;PB;2501500
30;BARAÚNA;Prefeito;ALYSON JOSÉ DA SILVA AZEVEDO;15;PMDB;Eleito;1.808;64,05;PB;2501534
30;BARRA DE SANTA ROSA;Prefeito;EVALDO COSTA GOMES;40;PSB;Eleito;4.169;50,61;PB;2501609
30;BARRA DE SANTANA;Prefeito;MANOEL ALMEIDA DE ANDRADE;22;PR;Eleito;3.56;66,38;PB;2501575
30;BARRA DE SÃO MIGUEL;Prefeito;LUZINECTT TEXEIRA LOPES;15;PMDB;Eleito;2.513;68,07;PB;2501708
30;BAYEUX;Prefeito;JOSIVAL JUNIOR DE SOUZA;15;PMDB;Eleito;28.929;54,90;PB;2501807
30;BELÉM;Prefeito;ROBERTO FLAVIO GUEDES BARBOSA;15;PMDB;Eleito;6.09;60,04;PB;2501906
30;BELÉM DO BREJO DO CRUZ;Prefeito;GERMANO LACERDA DA CUNHA;40;PSB;Eleito;2.384;53,35;PB;2502003
30;BERNARDINO BATISTA;Prefeito;JOSE EDOMARQUES GOMES;25;DEM;Eleito;1.594;100,00;PB;2502052
30;BOA VENTURA;Prefeito;JOSE PINTO NETO;45;PSDB;Eleito;2.354;60,76;PB;2502102
30;BOA VISTA;Prefeito;EDVAN PEREIRA LEITE;45;PSDB;Eleito;2.351;52,86;PB;2502151
30;BOM JESUS;Prefeito;MANOEL DANTAS VENCESLAU;14;PTB;Eleito;1.05;53,30;PB;2502201
30;BOM SUCESSO;Prefeito;GILSON CAVALCANTE DE OLIVEIRA;25;DEM;Eleito;2.534;76,97;PB;2502300
30;BONITO DE SANTA FÉ;Prefeito;ALDERI DE OLIVEIRA CAJU;15;PMDB;Eleito;2.896;52,64;PB;2502409
30;BOQUEIRÃO;Prefeito;CARLOS JOSÉ CASTRO MARQUES;14;PTB;Eleito;5.72;57,63;PB;2502508
30;BORBOREMA;Prefeito;JOSE RENATO EDUARDO DOS SANTOS;15;PMDB;Eleito;1.879;51,59;PB;2502706
30;BREJO DO CRUZ;Prefeito;FRANCISCO DUTRA SOBRINHO;22;PR;Eleito;5.915;83,96;PB;2502805
30;BREJO DOS SANTOS;Prefeito;LAURI FERREIRA DA COSTA;25;DEM;Eleito;2.396;58,44;PB;2502904
30;CAAPORÃ;Prefeito;JOÃO BATISTA SOARES;15;PMDB;Eleito;7.36;56,39;PB;2503001
30;CABACEIRAS;Prefeito;RICARDO JORGE DE FARIAS AIRES;40;PSB;Eleito;1.968;55,58;PB;2503100
30;CABEDELO;Prefeito;JOSÉ FRANCISCO RÉGIS;12;PDT;Eleito;15.418;50,03;PB;2503209
30;CACHOEIRA DOS ÍNDIOS;Prefeito;ARLINDO FRANCISCO DE SOUSA;22;PR;Eleito;3.756;72,93;PB;2503308
30;CACIMBA DE AREIA;Prefeito;INÁCIO ROBERTO DE LIRA CAMPOS;15;PMDB;Eleito;1.947;79,37;PB;2503407
