CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ABATIÁ;Prefeito;IRTON OLIVEIRA MUZEL;15;PMDB;Eleito;2.412;50,24;PR;4100103
30;ADRIANÓPOLIS;Prefeito;JOÃO MANOEL PAMPANINI;13;PT;Eleito;1.185;30,44;PR;4100202
30;AGUDOS DO SUL;Prefeito;ANTONIO GONÇALVES DA LUZ;11;PP;Eleito;2.464;46,05;PR;4100301
30;ALMIRANTE TAMANDARÉ;Prefeito;VILSON ROGÉRIO GOINSKI;15;PMDB;Eleito;32.048;88,02;PR;4100400
30;ALTAMIRA DO PARANÁ;Prefeito;JOÃO PAULO DE CASTRO KLIPE;40;PSB;Eleito;1.726;51,68;PR;4100459
30;ALTO PARAÍSO;Prefeito;MARIA APARECIDA ZANUTO FARIA;15;PMDB;Eleito;1.174;55,51;PR;4128625
30;ALTO PARANÁ;Prefeito;CLAUDIO GOLEMBA;45;PSDB;Eleito;3.401;43,21;PR;4100608
30;ALTO PIQUIRI;Prefeito;GERSON MARCIO NEGRISSOLI;40;PSB;Eleito;3.047;52,76;PR;4100707
30;ALTÔNIA;Prefeito;PEDRO NUNES DA MATA;11;PP;Eleito;8.033;71,10;PR;4100509
30;ALVORADA DO SUL;Prefeito;MARCOS ANTONIO VOLTARELLI;15;PMDB;Eleito;3.105;57,75;PR;4100806
30;AMAPORÃ;Prefeito;MAURO LEMOS;13;PT;Eleito;1.721;59,20;PR;4100905
30;AMPÉRE;Prefeito;FLAVIO JOSE PENSO;11;PP;Eleito;5.585;53,11;PR;4101002
30;ANAHY;Prefeito;JOACIR ANTONIO LAZZARETTI;13;PT;Eleito;1.069;51,59;PR;4101051
30;ANDIRÁ;Prefeito;JOSE RONALDO XAVIER;14;PTB;Eleito;6.87;50,56;PR;4101101
30;ÂNGULO;Prefeito;ERIVALDO LOURENÇO DA SILVA;15;PMDB;Eleito;1.128;51,93;PR;4101150
30;ANTONINA;Prefeito;CARLOS AUGUSTO MACHADO;23;PPS;Eleito;4.879;39,38;PR;4101200
30;ANTONIO OLINTO;Prefeito;JOSE AMBROSIO SOARES DA VEIGA;45;PSDB;Eleito;2.13;41,45;PR;#N/D
30;APUCARANA;Prefeito;JOÃO CARLOS DE OLIVEIRA;15;PMDB;Eleito;35.551;51,97;PR;4101408
30;ARAPONGAS;Prefeito;LUIZ ROBERTO PUGLIESE;15;PMDB;Eleito;32.199;57,68;PR;4101507
30;ARAPOTI;Prefeito;LUIZ FERNANDO DE MASI;45;PSDB;Eleito;6.985;47,96;PR;4101606
30;ARAPUÃ;Prefeito;DEODATO MATIAS;15;PMDB;Eleito;2.402;100,00;PR;4101655
30;ARARUNA;Prefeito;CARLOS CARMINDO BONATO;23;PPS;Eleito;4.462;51,14;PR;4101705
30;ARAUCÁRIA;Prefeito;OLIZANDRO JOSÉ FERREIRA;15;PMDB;Eleito;28.29;75,37;PR;4101804
30;ARIRANHA DO IVAÍ;Prefeito;CARLOS BANDIERA DE MATTOS;23;PPS;Eleito;1.02;52,17;PR;4101853
30;ASSAÍ;Prefeito;MICHEL ANGELO BOMTEMPO;15;PMDB;Eleito;4.599;47,01;PR;4101903
30;ASSIS CHATEAUBRIAND;Prefeito;DALILA JOSÉ DE MELLO;14;PTB;Eleito;10.019;52,86;PR;4102000
30;ASTORGA;Prefeito;ARQUIMEDES ZIROLDO;14;PTB;Eleito;7.693;49,30;PR;4102109
30;ATALAIA;Prefeito;NILSON APARECIDO MARTINS;15;PMDB;Eleito;1.446;50,81;PR;4102208
30;BALSA NOVA;Prefeito;OSVALDO VANDERLEI COSTA;15;PMDB;Eleito;3.889;46,24;PR;4102307
30;BANDEIRANTES;Prefeito;CELSO BENEDITO DA SILVA;12;PDT;Eleito;10.306;51,86;PR;4102406
30;BARBOSA FERRAZ;Prefeito;MARIO CESAR LOPES CARVALHO;15;PMDB;Eleito;4.44;63,83;PR;4102505
30;BARRA DO JACARÉ;Prefeito;EDIMAR DE FREITAS ALBONETI;11;PP;Eleito;741;37,96;PR;4102703
30;BARRACÃO;Prefeito;JOAREZ LIMA HENRICHS;25;DEM;Eleito;2.719;50,89;PR;4102604
30;BELA VISTA DA CAROBA;Prefeito;JOCELI TIAGO MENEZES;13;PT;Eleito;1.482;50,81;PR;4102752
30;BELA VISTA DO PARAÍSO;Prefeito;ANGELO ROBERTO BERTONCINI;45;PSDB;Eleito;3.464;35,63;PR;4102802
30;BITURUNA;Prefeito;REMI RANSSOLIN;14;PTB;Eleito;5.555;55,11;PR;4102901
30;BOA ESPERANÇA;Prefeito;CLAUDIO GOTARDO;45;PSDB;Eleito;2.864;100,00;PR;4103008
30;BOA ESPERANÇA DO IGUAÇU;Prefeito;CLAUDEMIR FREITAS;15;PMDB;Eleito;1.124;52,40;PR;4103024
30;BOA VENTURA DE SÃO ROQUE;Prefeito;JOSE FOREKEVICZ;15;PMDB;Eleito;2.102;51,70;PR;4103040
30;BOA VISTA DA APARECIDA;Prefeito;WOLNEI ANTONIO SAVARIS;15;PMDB;Eleito;2.801;52,67;PR;4103057
30;BOCAIÚVA DO SUL;Prefeito;LUCIMERI DE FATIMA SANTOS FRANCO;15;PMDB;Eleito;2.581;43,00;PR;4103107
30;BOM JESUS DO SUL;Prefeito;PAULO DEOLA;12;PDT;Eleito;2.247;100,00;PR;4103156
30;BOM SUCESSO;Prefeito;JOSE EDILSON VANZELLA;45;PSDB;Eleito;1.826;45,70;PR;4103206
30;BORRAZÓPOLIS;Prefeito;OSVALDO CAMPOS DE ALMEIDA;13;PT;Eleito;3.287;57,37;PR;4103305
30;BRAGANEY;Prefeito;JOSENEY VICENTE;15;PMDB;Eleito;2.245;61,09;PR;4103354
30;BRASILÂNDIA DO SUL;Prefeito;JOSÉ APARECIDO MANDOTTI;11;PP;Eleito;1.221;52,18;PR;4103370
30;CAFEARA;Prefeito;MARIO APARECIDO BEGA;15;PMDB;Eleito;1.469;100,00;PR;4103404
30;CAFELÂNDIA;Prefeito;ESTANISLAU MATEUS FRANUS;15;PMDB;Eleito;5.224;62,82;PR;4103453
30;CAFEZAL DO SUL;Prefeito;MARCO ANTONIO BOGAS DE OLIVEIRA;14;PTB;Eleito;1.779;61,75;PR;4103479
30;CALIFÓRNIA;Prefeito;AMAURI BARICHELLO;17;PSL;Eleito;2.883;53,97;PR;4103503
30;CAMBARÁ;Prefeito;JOSÉ SALIM HAGGI NETO;15;PMDB;Eleito;8.213;55,69;PR;4103602
30;CAMBÉ;Prefeito;JOÃO DALMACIO PAVINATO;45;PSDB;Eleito;17.486;33,34;PR;4103701
30;CAMBIRA;Prefeito;MARIA NEUSA RODRIGUES BELLINI;45;PSDB;Eleito;2.399;46,97;PR;4103800
30;CAMPINA DA LAGOA;Prefeito;CELIA CABRERA DE PAULA;28;PRTB;Eleito;5.388;100,00;PR;4103909
30;CAMPINA DO SIMÃO;Prefeito;EMILIO ARTEMIRO LAZZARETTI;15;PMDB;Eleito;1.643;58,37;PR;4103958
30;CAMPINA GRANDE DO SUL;Prefeito;LUIZ CARLOS ASSUNÇÃO;40;PSB;Eleito;12.135;54,76;PR;4104006
30;CAMPO BONITO;Prefeito;ANTONIO CARLOS DOMINIAK;22;PR;Eleito;1.465;46,88;PR;4104055
30;CAMPO DO TENENTE;Prefeito;CELSO WENSKI;15;PMDB;Eleito;2.706;61,06;PR;4104105
30;CAMPO LARGO;Prefeito;EDSON DARLEI BASSO;15;PMDB;Eleito;31.074;51,54;PR;4104204
30;CAMPO MAGRO;Prefeito;JOSÉ ANTONIO PASE;33;PMN;Eleito;5.008;38,11;PR;4104253
30;CAMPO MOURÃO;Prefeito;NELSON JOSÉ TURECK;15;PMDB;Eleito;24.998;52,96;PR;4104303
30;CÂNDIDO DE ABREU;Prefeito;JOSNEI ERIVAN FREITAS;15;PMDB;Eleito;4.525;93,53;PR;4104402
30;CANDÓI;Prefeito;ELIAS FARAH NETO;45;PSDB;Eleito;4.185;47,41;PR;4104428
30;CANTAGALO;Prefeito;PEDRO CLARISMUNDO BORELLI;45;PSDB;Eleito;3.061;41,22;PR;4104451
30;CAPANEMA;Prefeito;MILTON KAFER;15;PMDB;Eleito;6.321;53,97;PR;4104501
30;CAPITÃO LEÔNIDAS MARQUES;Prefeito;CLAUDIOMIRO QUADRI;15;PMDB;Eleito;4.685;50,21;PR;4104600
30;CARAMBEÍ;Prefeito;OSMAR RICKLI;45;PSDB;Eleito;3.756;52,78;PR;4104659
30;CARLÓPOLIS;Prefeito;ISAAC TAVARES DA SILVA;15;PMDB;Eleito;3.665;44,59;PR;4104709
30;CASCAVEL;Prefeito;EDGAR BUENO;12;PDT;Eleito;50.915;34,78;PR;4104808
30;CASTRO;Prefeito;MOACYR ELIAS FADEL JUNIOR;15;PMDB;Eleito;23.506;62,64;PR;4104907
30;CATANDUVAS;Prefeito;ALDOIR BERNART;15;PMDB;Eleito;3.441;57,67;PR;4105003
30;CENTENÁRIO DO SUL;Prefeito;VERALICE PAZZOTTI;15;PMDB;Eleito;3.595;52,12;PR;4105102
30;CERRO AZUL;Prefeito;DALTON LUIZ DE MOURA E COSTA;15;PMDB;Eleito;7.971;82,37;PR;4105201
30;CÉU AZUL;Prefeito;JOSÉ ENERON DA SILVA TELLES;20;PSC;Eleito;3.582;51,07;PR;4105300
30;CHOPINZINHO;Prefeito;VANDERLEI JOSE CRESTANI;45;PSDB;Eleito;9.159;76,19;PR;4105409
30;CIANORTE;Prefeito;EDNO GUIMARÃES;15;PMDB;Eleito;21.674;63,24;PR;4105508
30;CIDADE GAÚCHA;Prefeito;VITOR MANOEL ALCOBIA LEITÃO;14;PTB;Eleito;3.783;54,94;PR;4105607
30;CLEVELÂNDIA;Prefeito;ADEMIR JOSÉ GHELLER;22;PR;Eleito;5.862;55,83;PR;4105706
30;COLOMBO;Prefeito;JOSE ANTONIO CAMARGO;20;PSC;Eleito;56.939;57,17;PR;4105805
