CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ABREU E LIMA;Prefeito;FLÁVIO VIEIRA GADELHA DE ALBUQUERQUE;15;PMDB;Eleito;38.733;65,08;PE;2600054
30;AFOGADOS DA INGAZEIRA;Prefeito;ANTONIO VALADARES DE SOUZA FILHO;40;PSB;Eleito;9.496;49,13;PE;2600104
30;AFRÂNIO;Prefeito;CARLOS CAVALCANTI FERNANDES;14;PTB;Eleito;7.405;64,27;PE;2600203
30;AGRESTINA;Prefeito;CARMEN MIRIAM DE AZEVEDO ALVES;13;PT;Eleito;7.634;53,43;PE;2600302
30;ÁGUA PRETA;Prefeito;EDUARDO PASSOS COUTINHO CORREA DE OLIVEIRA;40;PSB;Eleito;7.95;51,28;PE;2600401
30;ÁGUAS BELAS;Prefeito;GENIVALDO MENEZES DELGADO;13;PT;Eleito;10.267;50,53;PE;2600500
30;ALAGOINHA;Prefeito;MAURILIO DE ALMEIDA SILVA;14;PTB;Eleito;5.397;65,95;PE;2600609
30;ALIANÇA;Prefeito;AZOKA JOSÉ MACIEL GOUVEIA;22;PR;Eleito;12.246;100,00;PE;2600708
30;ALTINHO;Prefeito;JOSÉ SÁVIO DE OMENA;40;PSB;Eleito;6.761;53,41;PE;2600807
30;AMARAJI;Prefeito;JÂNIO GOUVEIA DA SILVA;22;PR;Eleito;7.782;98,63;PE;2600906
30;ANGELIM;Prefeito;MARCO ANTONIO LEAL CALADO;25;DEM;Eleito;3.36;55,03;PE;2601003
30;ARAÇOIABA;Prefeito;SEVERINO ALEXANDRE SOBRINHO;15;PMDB;Eleito;3.762;55,04;PE;2601052
30;ARARIPINA;Prefeito;LUIZ WILSON ULISSES SAMPAIO;14;PTB;Eleito;22.223;56,86;PE;2601102
30;ARCOVERDE;Prefeito;JOSÉ CAVALCANTI ALVES JUNIOR;14;PTB;Eleito;25.131;75,13;PE;2601201
30;BARRA DE GUABIRABA;Prefeito;ALBERTO GEORGE PEREIRA DE ALBUQUERQUE;15;PMDB;Eleito;4.79;64,50;PE;2601300
30;BARREIROS;Prefeito;ANTONIO VICENTE DE SOUZA ALBUQUERQUE;40;PSB;Eleito;11.308;51,26;PE;2601409
30;BELÉM DE MARIA;Prefeito;WILSON DE LIMA E SILVA;14;PTB;Eleito;3.436;51,69;PE;2601508
30;BELÉM DE SÃO FRANCISCO;Prefeito;GUSTAVO HENRIQUE GRANJA CARIBÉ;40;PSB;Eleito;6.522;58,68;PE;2601607
30;BELO JARDIM;Prefeito;MARCOS ANTONIO DA SILVA;25;DEM;Eleito;20.724;50,95;PE;2601706
30;BETÂNIA;Prefeito;EUGENIA DE SOUZA ARAUJO;22;PR;Eleito;5.103;73,84;PE;2601805
30;BEZERROS;Prefeito;ELIZABETE MARIA SILVA DE LIMA;22;PR;Eleito;17.266;51,41;PE;2601904
30;BODOCÓ;Prefeito;BRIVALDO PEREIRA ALVES;25;DEM;Eleito;11.702;64,61;PE;2602001
30;BOM CONSELHO;Prefeito;JUDITH VALÉRIA ALAPENHA DE LIRA;12;PDT;Eleito;9.331;55,81;PE;2602100
30;BOM JARDIM;Prefeito;JOÃO FRANCISCO DE LIRA;23;PPS;Eleito;12.765;59,73;PE;2602209
30;BONITO;Prefeito;RUY BARBOSA;40;PSB;Eleito;10.682;50,36;PE;2602308
30;BREJÃO;Prefeito;SANDOVAL CADENGUE DE SANTANA;40;PSB;Eleito;3.44;53,23;PE;2602407
30;BREJINHO;Prefeito;JOSE VANDERLEI DA SILVA;40;PSB;Eleito;2.586;51,10;PE;2602506
30;BREJO DA MADRE DE DEUS;Prefeito;JOSE EDSON DE SOUSA;14;PTB;Eleito;10.545;51,29;PE;2602605
30;BUENOS AIRES;Prefeito;GISLAN DE ALMEIDA ALENCAR;45;PSDB;Eleito;4.43;51,05;PE;2602704
30;BUÍQUE;Prefeito;JONAS CAMÊLO DE ALMEIDA NETO;45;PSDB;Eleito;11.721;51,87;PE;2602803
30;CABO DE SANTO AGOSTINHO;Prefeito;LUIZ CABRAL DE OLIVEIRA FILHO;14;PTB;Eleito;62.858;60,48;PE;2602902
30;CABROBÓ;Prefeito;EUDES JOSÉ DE ALENCAR CALDAS CAVALCANTI;14;PTB;Eleito;9.316;55,70;PE;2603009
30;CACHOEIRINHA;Prefeito;CARLOS ALBERTO ARRUDA BEZERRA;25;DEM;Eleito;6.24;52,66;PE;2603108
30;CAETÉS;Prefeito;LINDOLFO ALMEIDA DE MELO;45;PSDB;Eleito;5.087;90,61;PE;2603207
30;CALÇADO;Prefeito;JOSE ELIAS MACENA DE LIMA;11;PP;Eleito;2.934;52,34;PE;2603306
30;CALUMBI;Prefeito;ERIVALDO JOSE DA SILVA;40;PSB;Eleito;2.263;50,58;PE;2603405
30;CAMARAGIBE;Prefeito;JOÃO RIBEIRO DE LEMOS;65;PC do B;Eleito;29.489;47,70;PE;2603454
30;CAMOCIM DE SÃO FÉLIX;Prefeito;JOSÉ GEOVANE BEZERRA;22;PR;Eleito;5.201;50,32;PE;2603504
30;CAMUTANGA;Prefeito;JOSE TRIGUEIRO DA SILVA;40;PSB;Eleito;3.063;53,99;PE;2603603
30;CANHOTINHO;Prefeito;ALVARO PORTO DE BARROS;25;DEM;Eleito;8.203;63,17;PE;2603702
30;CAPOEIRAS;Prefeito;LUIZ CLAUDINO DE SOUZA;22;PR;Eleito;6.163;55,34;PE;2603801
30;CARNAÍBA;Prefeito;JOSÉ DE ANCHIETA GOMES PATRIOTA;40;PSB;Eleito;8.056;80,88;PE;2603900
30;CARNAUBEIRA DA PENHA;Prefeito;MANOEL JOSÉ DA SILVA;22;PR;Eleito;3.699;49,85;PE;2603926
30;CARPINA;Prefeito;MANUEL SEVERINO DA SILVA;45;PSDB;Eleito;20.038;50,95;PE;2604007
30;CARUARU;Prefeito;JOSE QUEIROZ DE LIMA;12;PDT;Eleito;98.18;65,96;PE;2604106
30;CASINHAS;Prefeito;JOAO BARBOSA CAMELO NETO;14;PTB;Eleito;5.504;65,25;PE;2604155
30;CATENDE;Prefeito;OTACÍLIO ALVES CORDEIRO;40;PSB;Eleito;8.449;46,57;PE;2604205
30;CEDRO;Prefeito;JOSENILDO LEITE SOARES;40;PSB;Eleito;3.312;51,82;PE;2604304
30;CHÃ DE ALEGRIA;Prefeito;CLÁUDIO ESTÁCIO HONÓRIO DA COSTA;14;PTB;Eleito;5.283;64,18;PE;2604403
30;CHÃ GRANDE;Prefeito;DIOGO ALEXANDRE GOMES NETO;22;PR;Eleito;7.796;59,29;PE;2604502
30;CONDADO;Prefeito;JOSÉ EDBERTO TAVARES DE QUENTAL;25;DEM;Eleito;9.435;69,94;PE;2604601
