CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ACAUÃ;Prefeito;JOÃO FLORÊNCIO RODRIGUES;14;PTB;Eleito;2.574;60,79;PI;2200053
30;AGRICOLÂNDIA;Prefeito;JOAO DE DEUS RIBEIRO DOS SANTOS;14;PTB;Eleito;1.957;56,58;PI;2200103
30;ÁGUA BRANCA;Prefeito;JOAO LUIZ LOPES DE SOUZA;40;PSB;Eleito;5.639;62,96;PI;2200202
30;ALAGOINHA DO PIAUÍ;Prefeito;CLODOALDO DE MOURA ROCHA;13;PT;Eleito;2.619;51,60;PI;2200251
30;ALEGRETE DO PIAUÍ;Prefeito;JOAQUIM LEAL NETO;40;PSB;Eleito;2.413;100,00;PI;2200277
30;ALTO LONGÁ;Prefeito;FLAVIO CAMPOS SOARES;14;PTB;Eleito;4.771;57,61;PI;2200301
30;ALTOS;Prefeito;JOSÉ BATISTA FONSÊCA;40;PSB;Eleito;9.73;46,14;PI;2200400
30;ALVORADA DO GURGUÉIA;Prefeito;JOSÉ FÉLIX DE SOUSA;12;PDT;Eleito;1.796;60,51;PI;2200459
30;AMARANTE;Prefeito;LUIZ NETO ALVES DE SOUSA;23;PPS;Eleito;3.908;38,94;PI;2200509
30;ANGICAL DO PIAUÍ;Prefeito;ANA MARCIA LEAL DA COSTA;14;PTB;Eleito;1.947;38,91;PI;2200608
30;ANÍSIO DE ABREU;Prefeito;ABMERVAL GOMES DIAS;14;PTB;Eleito;1.971;100,00;PI;2200707
30;ANTÔNIO ALMEIDA;Prefeito;ALCEBÍADES BORGES DO RÊGO;45;PSDB;Eleito;1.175;50,87;PI;2200806
30;AROAZES;Prefeito;FRANCISCO BERNARDONE DA COSTA VALE;15;PMDB;Eleito;2.029;51,13;PI;2200905
30;AROEIRAS DO ITAIM;Prefeito;GILMAR FRANCISCO DE DEUS;14;PTB;Eleito;860;35,10;PI;2200954
30;ARRAIAL;Prefeito;NUMAS PEREIRA PORTO;12;PDT;Eleito;1.565;54,55;PI;2201002
30;ASSUNÇÃO DO PIAUÍ;Prefeito;GABRIEL MENDES LOPES;15;PMDB;Eleito;2.381;52,40;PI;2201051
30;AVELINO LOPES;Prefeito;ANFILÓFIO DE SOUSA NETO;23;PPS;Eleito;3.246;87,71;PI;2201101
30;BAIXA GRANDE DO RIBEIRO;Prefeito;OZIRES CASTRO SILVA;40;PSB;Eleito;2.333;100,00;PI;2201150
30;BARRA D'ALCÂNTARA;Prefeito;MARDONIO SOARES LOPES;15;PMDB;Eleito;1.112;100,00;PI;2201176
30;BARRAS;Prefeito;FRANCISCO DAS CHAGAS REGO DAMASCENO;15;PMDB;Eleito;12.248;55,15;PI;2201200
30;BARREIRAS DO PIAUÍ;Prefeito;DESUYTY GALGANEO MARTINS DE ASSIS;33;PMN;Eleito;942;38,46;PI;2201309
30;BARRO DURO;Prefeito;DEUSDETE LOPES DA SILVA;40;PSB;Eleito;1.969;47,71;PI;2201408
30;BATALHA;Prefeito;AMARO JOSÉ DE FREITAS MELO;14;PTB;Eleito;7.751;52,94;PI;2201507
