CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ANGRA DOS REIS;Prefeito;ARTUR OTÁVIO SCAPIN JORDÃO COSTA;15;PMDB;Eleito;44.162;52,22;RJ;3300100
30;APERIBÉ;Prefeito;FLÁVIO GOMES DE SOUSA;40;PSB;Eleito;4.84;100,00;RJ;3300159
30;ARARUAMA;Prefeito;ANDRE LUIZ MONICA E SILVA;15;PMDB;Eleito;32.919;53,08;RJ;3300209
30;AREAL;Prefeito;LAERTE CALIL DE FREITAS;11;PP;Eleito;3.925;74,70;RJ;3300225
30;ARMAÇÃO DOS BÚZIOS;Prefeito;DELMIRES DE OLIVEIRA BRAGA;12;PDT;Eleito;10.291;59,23;RJ;3300233
30;ARRAIAL DO CABO;Prefeito;WANDERSON CARDOSO DE BRITO;15;PMDB;Eleito;9.412;48,46;RJ;#N/D
30;BARRA DO PIRAÍ;Prefeito;JOSE LUIS ANCHITE;11;PP;Eleito;33.802;62,20;RJ;3300308
30;BARRA MANSA;Prefeito;JOSE RENATO BRUNO CARVALHO;15;PMDB;Eleito;39.319;39,43;RJ;3300407
30;BELFORD ROXO;Prefeito;ALCIDES DE MOURA ROLIM FILHO;13;PT;Eleito;138.615;66,40;RJ;3300456
30;BOM JARDIM;Prefeito;AFONSO HENRIQUES MONNERAT ALVES DA CRUZ;15;PMDB;Eleito;11.443;95,30;RJ;3300506
30;CABO FRIO;Prefeito;MARCOS DA ROCHA MENDES;45;PSDB;Eleito;47.799;49,78;RJ;3300704
30;CACHOEIRAS DE MACACU;Prefeito;RAFAEL MUZZI DE MIRANDA;11;PP;Eleito;16.229;51,80;RJ;3300803
30;CAMBUCI;Prefeito;OSWALDO BOTELHO;22;PR;Eleito;4.989;72,08;RJ;3300902
30;CANTAGALO;Prefeito;JOAQUIM AUGUSTO CARVALHO DE PAULA;11;PP;Eleito;8.749;100,00;RJ;3301108
30;CARAPEBUS;Prefeito;AMARO FERNANDES DOS SANTOS;10;PRB;Eleito;3.987;95,25;RJ;3300936
30;CARDOSO MOREIRA;Prefeito;GILSON NUNES SIQUEIRA;11;PP;Eleito;4.576;49,73;RJ;3301157
30;CARMO;Prefeito;CARLOS EMANUEL FERREIRA BRAZ;40;PSB;Eleito;6.305;56,01;RJ;3301207
30;CASIMIRO DE ABREU;Prefeito;ANTONIO MARCOS DE LEMOS MACHADO;20;PSC;Eleito;10.097;96,18;RJ;3301306
30;COMENDADOR LEVY GASPARIAN;Prefeito;CLAUDIO MANNARINO;15;PMDB;Eleito;2.436;42,88;RJ;3300951
30;CONCEIÇÃO DE MACABU;Prefeito;LIDIA MERCEDES  OLIVEIRA SOARES;13;PT;Eleito;5.068;61,21;RJ;3301405
30;CORDEIRO;Prefeito;SILVIO ABREU DAFLON;12;PDT;Eleito;7.213;56,17;RJ;3301504
30;DUAS BARRAS;Prefeito;ANTONIO CARLOS PAGNUZZI ARAUJO;15;PMDB;Eleito;3.21;57,91;RJ;3301603
30;DUQUE DE CAXIAS;Prefeito;JOSE CAMILO ZITO DOS SANTOS FILHO;45;PSDB;Eleito;245.218;53,34;RJ;3301702
30;ENGENHEIRO PAULO DE FRONTIN;Prefeito;EDUARDO RAMOS DA PAIXAO;15;PMDB;Eleito;5.033;66,66;RJ;3301801
30;GUAPIMIRIM;Prefeito;RENATO COSTA DE MELLO JUNIOR;36;PTC;Eleito;13.735;74,14;RJ;3301850
30;IGUABA GRANDE;Prefeito;OSCAR BANDEIRA DO CARMO MAGALHÃES;45;PSDB;Eleito;5.184;48,80;RJ;3301876
30;ITABORAÍ;Prefeito;SERGIO ALBERTO SOARES;11;PP;Eleito;36.387;32,74;RJ;3301900
30;ITAGUAÍ;Prefeito;CARLO BUSATTO JUNIOR;15;PMDB;Eleito;49.579;90,80;RJ;3302007
30;ITALVA;Prefeito;ELIEL ALMEIDA RIBEIRO;15;PMDB;Eleito;4.433;51,84;RJ;3302056
30;ITAOCARA;Prefeito;ALCIONE CORREA DE ARAUJO;15;PMDB;Eleito;9.828;63,50;RJ;3302106
30;ITAPERUNA;Prefeito;CLAUDIO CERQUEIRA BASTOS;45;PSDB;Eleito;28.721;51,19;RJ;3302205
30;ITATIAIA;Prefeito;LUIZ CARLOS FERREIRA BASTOS;11;PP;Eleito;7.098;56,21;RJ;3302254
30;JAPERI;Prefeito;IVALDO BARBOSA DOS SANTOS;45;PSDB;Eleito;16.657;33,47;RJ;3302270
30;LAJE DO MURIAÉ;Prefeito;JOSE ELIEZER TOSTES PINTO;15;PMDB;Eleito;2.82;51,62;RJ;3302304
30;MACAÉ;Prefeito;RIVERTON MUSSI RAMOS;15;PMDB;Eleito;41.026;41,64;RJ;3302403
30;MACUCO;Prefeito;ROGERIO BIANCHINI;15;PMDB;Eleito;2.741;100,00;RJ;3302452
30;MAGÉ;Prefeito;NUBIA COZZOLINO;15;PMDB;Eleito;60.932;51,00;RJ;3302502
30;MANGARATIBA;Prefeito;AARÃO DE MOURA BRITO NETO;15;PMDB;Eleito;12.623;64,03;RJ;3302601
30;MARICÁ;Prefeito;WASHINGTON LUIZ CARDOSO SIQUEIRA;13;PT;Eleito;36.133;62,60;RJ;3302700
30;MENDES;Prefeito;ROGERIO RIENTE;25;DEM;Eleito;7.5;64,27;RJ;3302809
30;MESQUITA;Prefeito;ARTUR MESSIAS DA SILVEIRA;13;PT;Eleito;52.613;56,23;RJ;3302858
