CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ACARI;Prefeito;ANTÔNIO CARLOS FERNANDES DE MEDEIROS;22;PR;Eleito;3.857;50,87;RN;2400109
30;AFONSO BEZERRA;Prefeito;JACKSON DE SANTA CRUZ ALBUQUERQUE BEZERRA;40;PSB;Eleito;3.818;51,45;RN;2400307
30;ÁGUA NOVA;Prefeito;ILIENE MARIA FERREIRA DE CARVALHO RIBEIRO;15;PMDB;Eleito;1.318;69,44;RN;2400406
30;ALEXANDRIA;Prefeito;ALBERTO MAIA PATRICIO DE FIGUEIREDO;11;PP;Eleito;4.839;57,74;RN;2400505
30;ALMINO AFONSO;Prefeito;LAWRENCE CARLOS AMORIM DE ARAUJO;11;PP;Eleito;2.473;59,11;RN;2400604
30;ALTO DO RODRIGUES;Prefeito;EIDER ASSIS DE MEDEIROS;15;PMDB;Eleito;4.28;53,63;RN;2400703
30;ANGICOS;Prefeito;JAIME BATISTA DOS SANTOS;25;DEM;Eleito;3.935;49,77;RN;2400802
30;ANTÔNIO MARTINS;Prefeito;EDMILSON FERNANDES DE AMORIM;13;PT;Eleito;3.619;100,00;RN;2400901
30;APODI;Prefeito;MARIA GORETI DA SILVEIRA PINTO;15;PMDB;Eleito;11.314;51,23;RN;2401008
30;AREIA BRANCA;Prefeito;MANOEL CUNHA NETO;11;PP;Eleito;9.055;56,50;RN;2401107
30;ARÊS;Prefeito;ERÇO DE OLIVEIRA PAIVA;22;PR;Eleito;4.15;51,53;RN;2401206
30;ASSÚ;Prefeito;IVAN LOPES JUNIOR;11;PP;Eleito;17.555;56,55;RN;#N/D
30;BAÍA FORMOSA;Prefeito;JOSÉ NIVALDO ARAÚJO DE MELO;40;PSB;Eleito;2.211;39,43;RN;2401404
30;BARAÚNA;Prefeito;ALDIVON SIMÃO DO NASCIMENTO;22;PR;Eleito;8.929;68,19;RN;2401453
30;BARCELONA;Prefeito;CARLOS ZAMITH DE SOUZA;12;PDT;Eleito;1.729;51,43;RN;2401503
30;BENTO FERNANDES;Prefeito;IVANILDO FERNANDES DE OLIVEIRA;11;PP;Eleito;2.216;60,17;RN;2401602
30;BOA SAÚDE;Prefeito;MARIA EDICE FRANCISCO E FÉLIX;22;PR;Eleito;2.995;50,48;RN;#N/D
30;BODÓ;Prefeito;FRANCISCO AVAMAR ALVES;25;DEM;Eleito;1.428;64,12;RN;2401651
30;BOM JESUS;Prefeito;EDMUNDO AIRES DE MELO JÚNIOR;15;PMDB;Eleito;3.086;51,30;RN;2401701
30;BREJINHO;Prefeito;JOÃO BATISTA GOMES GONÇALVES;15;PMDB;Eleito;4.866;65,56;RN;2401800
30;CAIÇARA DO NORTE;Prefeito;AMARILDO ELIAS DE MORAIS;40;PSB;Eleito;2.37;58,37;RN;2401859
30;CAIÇARA DO RIO DO VENTO;Prefeito;FELIPE ELOI MULLER;15;PMDB;Eleito;1.544;55,20;RN;2401909
30;CAICÓ;Prefeito;RIVALDO COSTA;22;PR;Eleito;17.807;50,17;RN;2402006
