CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ACEGUÁ;Prefeito;GERHARD MARTENS;45;PSDB;Eleito;1.625;54,00;RS;4300034
30;ÁGUA SANTA;Prefeito;ANTONIO ALFREDO DE SOUZA;15;PMDB;Eleito;1.633;60,30;RS;4300059
30;AGUDO;Prefeito;ARI ALVES DA ANUNCIAÇÃO;15;PMDB;Eleito;6.33;58,43;RS;4300109
30;AJURICABA;Prefeito;ORLANDO JOSE KOLLER;14;PTB;Eleito;2.89;55,50;RS;4300208
30;ALECRIM;Prefeito;NERCI JOSE AMES;15;PMDB;Eleito;2.968;54,73;RS;4300307
30;ALEGRETE;Prefeito;ERASMO GUTERRES SILVA;15;PMDB;Eleito;16.176;35,46;RS;4300406
30;ALEGRIA;Prefeito;IDALCIR LUIZ SANTI;11;PP;Eleito;1.798;100,00;RS;4300455
30;ALMIRANTE TAMANDARÉ DO SUL;Prefeito;SANDRA TEREZINHA SEBBEN;15;PMDB;Eleito;907;50,08;RS;4300471
30;ALPESTRE;Prefeito;VALDIR JOSE ZASSO;12;PDT;Eleito;2.93;52,58;RS;4300505
30;ALTO ALEGRE;Prefeito;HELIO DALBERTO;12;PDT;Eleito;915;59,26;RS;4300554
30;ALTO FELIZ;Prefeito;MAURICIO KUNRATH;15;PMDB;Eleito;1.165;55,37;RS;4300570
30;ALVORADA;Prefeito;JOÃO CARLOS BRUM;14;PTB;Eleito;60.2;59,46;RS;4300604
30;AMARAL FERRADOR;Prefeito;JULIO CESAR DE VARGAS;11;PP;Eleito;2.383;54,26;RS;4300638
30;AMETISTA DO SUL;Prefeito;DORVAL AMERICO BASSI;15;PMDB;Eleito;3.168;100,00;RS;4300646
30;ANDRÉ DA ROCHA;Prefeito;BRAZ REIS HOFFMANN;11;PP;Eleito;776;57,61;RS;4300661
30;ANTA GORDA;Prefeito;VANDERLEI ANTONIO MORESCO;15;PMDB;Eleito;2.543;54,66;RS;4300703
30;ANTÔNIO PRADO;Prefeito;MARCOS SCOPEL;15;PMDB;Eleito;4.782;55,86;RS;4300802
30;ARAMBARÉ;Prefeito;ALAOR PASTORIZA RIBEIRO;15;PMDB;Eleito;1.485;56,23;RS;4300851
30;ARARICÁ;Prefeito;FLAVIO LUIZ FOSS;11;PP;Eleito;2.278;65,31;RS;4300877
30;ARATIBA;Prefeito;LUIZ ANGELO POLETTO;14;PTB;Eleito;2.808;55,70;RS;4300901
30;ARROIO DO MEIO;Prefeito;SIDNEI ECKERT;15;PMDB;Eleito;7.735;60,89;RS;4301008
30;ARROIO DO PADRE;Prefeito;JAIME ALVINO STARKE;11;PP;Eleito;1.229;54,55;RS;4301073
30;ARROIO DO SAL;Prefeito;LUCIANO PINTO DA SILVA;12;PDT;Eleito;2.745;52,34;RS;4301057
