CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ALTA FLORESTA DO OESTE;Prefeito;DANIEL DEINA;19;PTN;Eleito;7.93;55,36;RO;#N/D
30;ALTO ALEGRE DOS PARECIS;Prefeito;MARITON BENEDITO DE HOLANDA;13;PT;Eleito;4.187;65,91;RO;1100379
30;ALTO PARAÍSO;Prefeito;ROMEU REOLON;15;PMDB;Eleito;5.296;60,15;RO;1100403
30;ALVORADA DO OESTE;Prefeito;LAERTE GOMES;22;PR;Eleito;6.849;76,04;RO;#N/D
30;ARIQUEMES;Prefeito;CONFUCIO AIRES MOURA;15;PMDB;Eleito;31.329;72,79;RO;1100023
30;BURITIS;Prefeito;ELSON DE SOUZA MONTES;22;PR;Eleito;6.35;38,88;RO;1100452
30;CABIXI;Prefeito;JOSE ROZARIO BARROSO;22;PR;Eleito;2.229;55,13;RO;1100031
30;CACAULÂNDIA;Prefeito;EDIR ALQUIERI;25;DEM;Eleito;2.053;61,60;RO;1100601
30;CACOAL;Prefeito;FRANCESCO VIALETTO;13;PT;Eleito;24.601;60,75;RO;1100049
30;CAMPO NOVO DE RONDÔNIA;Prefeito;MARCOS ROBERTO DE MEDEIROS MARTINS;23;PPS;Eleito;2.168;38,88;RO;1100700
30;CANDEIAS DO JAMARI;Prefeito;OSVALDO SOUSA;43;PV;Eleito;4.225;40,47;RO;1100809
30;CASTANHEIRAS;Prefeito;ALCIDES ZACARIAS SOBRINHO;27;PSDC;Eleito;1.285;43,11;RO;1100908
30;CEREJEIRAS;Prefeito;KLEBER CALISTO DE SOUZA;15;PMDB;Eleito;7.313;76,74;RO;1100056
30;CHUPINGUAIA;Prefeito;VANDERLEI PALHARI;15;PMDB;Eleito;3.17;74,01;RO;1100924
30;COLORADO DO OESTE;Prefeito;ANEDINO CARLOS PEREIRA JUNIOR;11;PP;Eleito;5.699;54,81;RO;1100064
30;CORUMBIARA;Prefeito;SELVINO ALVES BOAVENTURA;14;PTB;Eleito;2.661;95,86;RO;1100072
30;COSTA MARQUES;Prefeito;JACQUELINE FERREIRA GOIS;22;PR;Eleito;2.933;47,31;RO;1100080
30;CUJUBIM;Prefeito;ERNAN SANTANA AMORIM;28;PRTB;Eleito;2.655;42,20;RO;1100940
30;ESPIGÃO DO OESTE;Prefeito;CELIO RENATO DA SILVEIRA;15;PMDB;Eleito;8.906;56,28;RO;#N/D
30;GOVERNADOR JORGE TEIXEIRA;Prefeito;FRANCISCO DE ASSIS NETO;25;DEM;Eleito;2.643;39,91;RO;1101005
30;GUAJARÁ-MIRIM;Prefeito;ATALIBIO JOSÉ PEGORINI;22;PR;Eleito;7.376;36,54;RO;1100106
30;ITAPUÃ DO OESTE;Prefeito;JOAO ADALBERTO TESTA;15;PMDB;Eleito;2.663;56,62;RO;1101104
30;JARU;Prefeito;JEAN CARLOS DOS SANTOS;15;PMDB;Eleito;11.517;40,25;RO;1100114
30;JI-PARANÁ;Prefeito;JOSÉ DE ABREU BIANCO;25;DEM;Eleito;35.179;62,68;RO;1100122
30;MACHADINHO DO OESTE;Prefeito;MARIO ALVES DA COSTA;43;PV;Eleito;5.913;38,67;RO;#N/D
30;MINISTRO ANDREAZZA;Prefeito;NEURI CARLOS PERSCH;14;PTB;Eleito;3.259;57,31;RO;1101203
30;MIRANTE DA SERRA;Prefeito;VITORINO CHERQUE;15;PMDB;Eleito;2.959;40,71;RO;1101302
30;MONTE NEGRO;Prefeito;ELOISIO ANTONIO DA SILVA;45;PSDB;Eleito;4.172;49,57;RO;1101401
30;NOVA BRASILÂNDIA DO OESTE;Prefeito;VALCIR SILAS BORGES;40;PSB;Eleito;5.796;52,32;RO;#N/D
30;NOVA MAMORÉ;Prefeito;JOSÉ BRASILEIRO UCHÔA;40;PSB;Eleito;3.617;35,18;RO;1100338
30;NOVA UNIÃO;Prefeito;LUIZ GOMES FURTADO;22;PR;Eleito;2.845;67,85;RO;1101435
30;NOVO HORIZONTE DO OESTE;Prefeito;NADELSON DE CARVALHO;27;PSDC;Eleito;3.109;52,67;RO;1100502
30;OURO PRETO DO OESTE;Prefeito;JUAN ALEX TESTONI;19;PTN;Eleito;14.786;69,59;RO;1100155
30;PARECIS;Prefeito;JAIR PEREIRA DUARTE;25;DEM;Eleito;1.178;50,15;RO;1101450
30;PIMENTA BUENO;Prefeito;AUGUSTO TUNES PLAÇA;15;PMDB;Eleito;8.199;46,11;RO;1100189
30;PIMENTEIRAS DO OESTE;Prefeito;JOSE ROBERTO HORN;14;PTB;Eleito;913;51,64;RO;1101468
30;PORTO VELHO;Prefeito;ROBERTO EDUARDO SOBRINHO;13;PT;Eleito;119.896;59,51;RO;1100205
30;PRESIDENTE MÉDICI;Prefeito;JOSE RIBEIRO DA SILVA FILHO;15;PMDB;Eleito;4.443;37,00;RO;1100254
30;PRIMAVERA DE RONDÔNIA;Prefeito;ELOISA HELENA BERTOLETTI;14;PTB;Eleito;1.386;50,62;RO;1101476
30;RIO CRESPO;Prefeito;EDIANE MARIA MOREIRA;19;PTN;Eleito;906;38,20;RO;1100262
