CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ALTO ALEGRE;Prefeito;VIRU OSCAR FRIEDRICH;45;PSDB;Eleito;4.215;66,92;RR;1400050
30;AMAJARI;Prefeito;PAULO RODRIGUES WANDERLEY;45;PSDB;Eleito;1.588;100,00;RR;1400027
30;BOA VISTA;Prefeito;IRADILSON SAMPAIO DE SOUZA;40;PSB;Eleito;66.998;54,35;RR;1400100
30;BONFIM;Prefeito;RHOMER DE SOUZA LIMA;45;PSDB;Eleito;2.036;100,00;RR;1400159
30;CANTÁ;Prefeito;JOSEMAR DO CARMO;45;PSDB;Eleito;3.983;54,85;RR;1400175
30;CARACARAÍ;Prefeito;ANTÔNIO EDUARDO FILHO;22;PR;Eleito;5.888;94,10;RR;1400209
30;CAROEBE;Prefeito;ARNALDO MUNIZ DE SOUZA;22;PR;Eleito;1.769;41,52;RR;1400233
30;IRACEMA;Prefeito;RARYSON PEDROSA NAKAYAMA;14;PTB;Eleito;2.727;69,51;RR;1400282
30;MUCAJAÍ;Prefeito;ELTON VIEIRA LOPES;15;PMDB;Eleito;3.95;51,19;RR;1400308
30;NORMANDIA;Prefeito;ORLANDO OLIVEIRA JUSTINO;45;PSDB;Eleito;1.641;41,40;RR;1400407
30;PACARAIMA;Prefeito;ALTEMIR DA SILVA CAMPOS;45;PSDB;Eleito;2.25;51,04;RR;1400456
30;RORAINÓPOLIS;Prefeito;CARLOS JAMES BARRO DA SILVA;45;PSDB;Eleito;3.213;35,98;RR;1400472
30;SÃO JOÃO DA BALIZA;Prefeito;FRANCISCO MAIA DA SILVA;45;PSDB;Eleito;2.026;54,20;RR;1400506
30;SÃO LUIZ;Prefeito;JAMES MOREIRA BATISTA;65;PC do B;Eleito;2.031;52,64;RR;1400605
30;UIRAMUTÃ;Prefeito;ELIÉSIO CAVALCANTE DE LIMA;13;PT;Eleito;1.756;55,46;RR;1400704
