CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ABDON BATISTA;Prefeito;LUIZ ANTONIO ZANCHETT;15;PMDB;Eleito;1.215;60,96;SC;4200051
30;ABELARDO LUZ;Prefeito;DILMAR ANTONIO FANTINELLI;13;PT;Eleito;5.033;51,28;SC;4200101
30;AGROLÂNDIA;Prefeito;JOSÉ CONSTANTE;13;PT;Eleito;4.02;66,56;SC;4200200
30;AGRONÔMICA;Prefeito;JOSE ERCOLINO MENEGATTI;15;PMDB;Eleito;1.795;54,59;SC;4200309
30;ÁGUA DOCE;Prefeito;NELCI FATIMA TRENTO BORTOLINI;11;PP;Eleito;2.447;53,45;SC;4200408
30;ÁGUAS DE CHAPECÓ;Prefeito;ADILSON ZENI;15;PMDB;Eleito;1.994;50,20;SC;4200507
30;ÁGUAS FRIAS;Prefeito;MARINO DAGA;13;PT;Eleito;1.634;100,00;SC;4200556
30;ÁGUAS MORNAS;Prefeito;PEDRO FRANCISCO GARCIA;15;PMDB;Eleito;2.65;60,13;SC;4200606
30;ALFREDO WAGNER;Prefeito;NIVALDO WESSLER;25;DEM;Eleito;2.653;43,24;SC;4200705
30;ALTO BELA VISTA;Prefeito;SERGIO LUIZ SCHMITZ;15;PMDB;Eleito;817;50,46;SC;4200754
30;ANCHIETA;Prefeito;ANTONIO LUIZ MARIANI;13;PT;Eleito;2.298;52,84;SC;4200804
30;ANGELINA;Prefeito;GILBERTO ORLANDO DORIGON;15;PMDB;Eleito;2.161;51,53;SC;4200903
30;ANITA GARIBALDI;Prefeito;ROBERTO MARIN;25;DEM;Eleito;2.609;43,05;SC;4201000
30;ANITÁPOLIS;Prefeito;SAULO WEISS;15;PMDB;Eleito;1.552;61,91;SC;4201109
30;ANTÔNIO CARLOS;Prefeito;GERALDO PAULI;15;PMDB;Eleito;2.879;52,75;SC;4201208
30;APIÚNA;Prefeito;JAMIR MARCELO SCHMIDT;15;PMDB;Eleito;3.069;50,70;SC;4201257
30;ARABUTÃ;Prefeito;JACKSON LUIZ PATZLAFF;15;PMDB;Eleito;1.689;54,15;SC;4201273
30;ARAQUARI;Prefeito;JOÃO PEDRO WOITEXEM;15;PMDB;Eleito;6.622;57,99;SC;4201307
30;ARARANGUÁ;Prefeito;MARIANO MAZZUCO NETO;11;PP;Eleito;19.631;54,78;SC;4201406
30;ARMAZÉM;Prefeito;JAIME WENSING;45;PSDB;Eleito;2.631;50,64;SC;4201505
30;ARROIO TRINTA;Prefeito;CLAUDIO SPRICIGO;25;DEM;Eleito;1.34;53,09;SC;4201604
30;ARVOREDO;Prefeito;NEURI MENEGUZZI;15;PMDB;Eleito;926;56,26;SC;4201653
30;ASCURRA;Prefeito;MOACIR POLIDORO;25;DEM;Eleito;2.237;45,46;SC;4201703
30;ATALANTA;Prefeito;BRAZ BILCK;45;PSDB;Eleito;1.408;54,94;SC;4201802
30;AURORA;Prefeito;ALFONSO MARIA SOUZA;15;PMDB;Eleito;1.937;51,92;SC;4201901
30;BALNEÁRIO ARROIO DO SILVA;Prefeito;EVANDRO SCAINI;25;DEM;Eleito;2.532;45,16;SC;4201950
30;BALNEÁRIO BARRA DO SUL;Prefeito;ANTONIO RODRIGUES;13;PT;Eleito;3.358;57,61;SC;4202057
30;BALNEÁRIO CAMBORIÚ;Prefeito;EDSON RENATO DIAS;15;PMDB;Eleito;28.479;48,21;SC;4202008
30;BALNEÁRIO GAIVOTA;Prefeito;JOÃO ALBERTO BONAMIGO;15;PMDB;Eleito;2.556;51,31;SC;4202073
30;BALNEÁRIO PIÇARRAS;Prefeito;UMBERTO LUIZ TEIXEIRA;11;PP;Eleito;4.346;48,27;SC;4212809
30;BANDEIRANTE;Prefeito;CELSO BIEGELMEIER;13;PT;Eleito;1.108;50,25;SC;4202081
30;BARRA BONITA;Prefeito;PEDRO RODRIGUES DA SILVA;11;PP;Eleito;873;51,02;SC;4202099
30;BARRA VELHA;Prefeito;SAMIR MATTAR;15;PMDB;Eleito;6.02;53,44;SC;4202107
30;BELA VISTA DO TOLDO;Prefeito;ADELMO ALBERTI;45;PSDB;Eleito;3.012;73,84;SC;4202131
30;BELMONTE;Prefeito;MAURI SCARANTI;15;PMDB;Eleito;944;50,45;SC;4202156
30;BENEDITO NOVO;Prefeito;LAURINO DALKE;15;PMDB;Eleito;5.057;76,05;SC;4202206
30;BIGUAÇU;Prefeito;JOSÉ CASTELO DESCHAMPS;11;PP;Eleito;17.526;57,00;SC;4202305
30;BLUMENAU;Prefeito;JOÃO PAULO KARAM KLEINUBING;25;DEM;Eleito;112.509;63,67;SC;4202404
30;BOCAINA DO SUL;Prefeito;MARTA REGINA GOSS;45;PSDB;Eleito;1.165;49,34;SC;4202438
30;BOM JARDIM DA SERRA;Prefeito;RIVALDO ANTONIO MACARI;15;PMDB;Eleito;1.776;59,10;SC;4202503
30;BOM JESUS;Prefeito;CLOVIS FERNANDES DE SOUZA;15;PMDB;Eleito;964;51,47;SC;4202537
30;BOM JESUS DO OESTE;Prefeito;SERGIO LUIZ PERSCH;25;DEM;Eleito;825;51,43;SC;4202578
30;BOM RETIRO;Prefeito;JOSÉ ANTÔNIO DE MELO;11;PP;Eleito;3.091;54,05;SC;4202602
30;BOMBINHAS;Prefeito;MANOEL MARCÍLIO DOS SANTOS;11;PP;Eleito;2.321;29,22;SC;4202453
30;BOTUVERÁ;Prefeito;ZENOR FRANSCICO SGROTT;25;DEM;Eleito;1.583;51,51;SC;4202701
30;BRAÇO DO NORTE;Prefeito;ADEMIR SCHMOELLER;11;PP;Eleito;4.875;74,23;SC;4202800
30;BRAÇO DO TROMBUDO;Prefeito;VILBERTO MULLER SCHOVINDER;22;PR;Eleito;1.593;62,18;SC;4202859
30;BRUNÓPOLIS;Prefeito;VOLCIR CANUTO;15;PMDB;Eleito;1.137;51,12;SC;4202875
30;BRUSQUE;Prefeito;PAULO ROBERTO ECCEL;13;PT;Eleito;33.498;55,78;SC;4202909
30;CAÇADOR;Prefeito;SAULO SPEROTTO;45;PSDB;Eleito;20.368;51,19;SC;4203006
30;CAIBI;Prefeito;ADILAR CARLESSO;15;PMDB;Eleito;2.591;100,00;SC;4203105
30;CALMON;Prefeito;ALCIDES FRANCISCO BOFF;15;PMDB;Eleito;1.603;55,81;SC;4203154
30;CAMBORIÚ;Prefeito;LUZIA LOURDES COPPI MATHIAS;45;PSDB;Eleito;16.268;63,73;SC;4203204
30;CAMPO ALEGRE;Prefeito;VILMAR GROSSKOPF;15;PMDB;Eleito;3.903;50,70;SC;4203303
30;CAMPO BELO DO SUL;Prefeito;FIRMINO ADERBAL CHAVES BRANCO;11;PP;Eleito;1.791;36,12;SC;4203402
30;CAMPO ERÊ;Prefeito;ODILSON VICENTE DE LIMA;22;PR;Eleito;3.518;60,76;SC;4203501
30;CAMPOS NOVOS;Prefeito;VILIBALDO ERICH SCHMID;15;PMDB;Eleito;11.308;60,87;SC;4203600
30;CANELINHA;Prefeito;ANTONIO DA SILVA;11;PP;Eleito;3.307;47,60;SC;4203709
30;CANOINHAS;Prefeito;LEOBERTO  WEINERT;15;PMDB;Eleito;13.996;44,65;SC;4203808
30;CAPÃO ALTO;Prefeito;ANTONIO COELHO LOPES JÚNOR;25;DEM;Eleito;1.356;53,28;SC;4203253
30;CAPINZAL;Prefeito;LEONIR BOARETTO;15;PMDB;Eleito;6.667;52,42;SC;4203907
30;CAPIVARI DE BAIXO;Prefeito;LUIZ CARLOS BRUNEL ALVES;15;PMDB;Eleito;5.928;44,65;SC;4203956
30;CATANDUVAS;Prefeito;GISA APARECIDA GIACOMIN;25;DEM;Eleito;3.815;65,94;SC;4204004
30;CAXAMBU DO SUL;Prefeito;VILMAR FOPPA;15;PMDB;Eleito;1.932;54,67;SC;4204103
30;CELSO RAMOS;Prefeito;JOSÉ ALCIOMAR DE MATIA;45;PSDB;Eleito;1.21;52,00;SC;4204152
