CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ADAMANTINA;Prefeito;JOSE FRANCISCO FIGUEIREDO MICHELONI;25;DEM;Eleito;15.582;85,18;SP;3500105
30;ADOLFO;Prefeito;JOÃO DONIZETTE THEODORO;11;PP;Eleito;1.545;55,58;SP;3500204
30;AGUAÍ;Prefeito;JOSÉ MARIA BORTOLUCI LOBO;45;PSDB;Eleito;9.982;55,26;SP;3500303
30;ÁGUAS DA PRATA;Prefeito;SAMUEL DA SILVA BINATI;20;PSC;Eleito;1.589;45,81;SP;3500402
30;ÁGUAS DE LINDÓIA;Prefeito;MARTINHO ANTONIO MARIANO;45;PSDB;Eleito;5.306;100,00;SP;3500501
30;ÁGUAS DE SANTA BÁRBARA;Prefeito;CARLOS ALBERTO DE CARVALHO;20;PSC;Eleito;1.825;86,95;SP;3500550
30;ÁGUAS DE SÃO PEDRO;Prefeito;PAULO CESAR BORGES;45;PSDB;Eleito;1.146;44,80;SP;3500600
30;AGUDOS;Prefeito;EVERTON OCTAVIANI;15;PMDB;Eleito;9.538;46,34;SP;3500709
30;ALAMBARI;Prefeito;SANDRO DE JESUS DE CAMARGO;43;PV;Eleito;1.625;55,50;SP;3500758
30;ALFREDO MARCONDES;Prefeito;CELSO PIRANI PASSOS;11;PP;Eleito;1.533;54,83;SP;3500808
30;ALTAIR;Prefeito;JOSÉ BRAZ ALVARINDO DO PRADO;12;PDT;Eleito;2.198;100,00;SP;3500907
30;ALTINÓPOLIS;Prefeito;MARCO ERNANI HYSSA LUIZ;15;PMDB;Eleito;4.772;47,11;SP;3501004
30;ALTO ALEGRE;Prefeito;ILSON PERES THOMÉ;25;DEM;Eleito;1.692;53,61;SP;3501103
30;ALUMÍNIO;Prefeito;JACOB SAUDA;15;PMDB;Eleito;4.255;38,03;SP;3501152
30;ÁLVARES FLORENCE;Prefeito;ALBERTO CESAR DE CAIRES;25;DEM;Eleito;1.561;53,33;SP;3501202
30;ÁLVARES MACHADO;Prefeito;JULIANO RIBEIRO GARCIA;25;DEM;Eleito;6.433;50,66;SP;3501301
30;ÁLVARO DE CARVALHO;Prefeito;ADHEMAR KEMP MARCONDES DE MOURA;11;PP;Eleito;1.667;64,14;SP;3501400
30;ALVINLÂNDIA;Prefeito;ELIZEU JESUS ELEOTERIO;11;PP;Eleito;1.165;54,01;SP;3501509
30;AMERICANA;Prefeito;DIEGO DE NADAI;45;PSDB;Eleito;35.537;36,44;SP;3501608
30;AMÉRICO BRASILIENSE;Prefeito;VALDEMIRO BRITO GOUVEA;13;PT;Eleito;10.124;51,80;SP;3501707
30;AMÉRICO DE CAMPOS;Prefeito;CESAR SCHUMAHER DE ALONSO GIL;22;PR;Eleito;3.271;100,00;SP;3501806
30;AMPARO;Prefeito;PAULO TURATO MIOTTA;13;PT;Eleito;16.91;45,56;SP;3501905
30;ANALÂNDIA;Prefeito;LUIZ ANTONIO APARECIDO GARBUIO;25;DEM;Eleito;2.377;55,73;SP;3502002
30;ANDRADINA;Prefeito;JAMIL AKIO ONO;13;PT;Eleito;15.017;48,05;SP;3502101
30;ANGATUBA;Prefeito;CARLOS AUGUSTO RODRIGUES DE MORAIS TURELLI;45;PSDB;Eleito;6.49;49,71;SP;3502200
30;ANHEMBI;Prefeito;RUY FERREIRA DE SOUZA;15;PMDB;Eleito;2.781;70,91;SP;3502309
30;ANHUMAS;Prefeito;ADAILTON CESAR MENOSSI;14;PTB;Eleito;1.414;56,97;SP;3502408
30;APARECIDA;Prefeito;ANTONIO MARCIO DE SIQUEIRA;45;PSDB;Eleito;11.363;49,55;SP;3502507
30;APARECIDA D'OESTE;Prefeito;JOSE DE OLIVEIRA;14;PTB;Eleito;2.139;100,00;SP;3502606
30;APIAÍ;Prefeito;EMILSON COURAS DA SILVA;25;DEM;Eleito;6.82;47,33;SP;3502705
30;ARAÇARIGUAMA;Prefeito;ROQUE NORMELIO HOFFMANN;45;PSDB;Eleito;4.918;51,07;SP;3502754
30;ARAÇATUBA;Prefeito;APARECIDO SÉRIO DA SILVA;13;PT;Eleito;43.093;43,02;SP;3502804
30;ARAÇOIABA DA SERRA;Prefeito;JOÃO FRANKLIN PINTO;14;PTB;Eleito;6.238;67,66;SP;3502903
30;ARAMINA;Prefeito;MARCOS ANTONIO ROSIN;23;PPS;Eleito;2.358;64,04;SP;3503000
30;ARANDU;Prefeito;PAULO SERGIO GUERSO;14;PTB;Eleito;2.761;66,21;SP;3503109
30;ARAPEÍ;Prefeito;EDSON DE SOUZA QUINTANILHA;23;PPS;Eleito;1.111;58,72;SP;3503158
30;ARARAQUARA;Prefeito;MARCELO FORTES BARBIERI;15;PMDB;Eleito;50.813;44,66;SP;3503208
30;ARARAS;Prefeito;PEDRO ELISEU FILHO;25;DEM;Eleito;38.77;57,75;SP;3503307
30;ARCO-ÍRIS;Prefeito;JOSÉ LUIZ DA SILVA;14;PTB;Eleito;1.03;60,66;SP;3503356
30;AREALVA;Prefeito;ELSON BANUTH BARRETO;45;PSDB;Eleito;2.968;60,65;SP;3503406
30;AREIAS;Prefeito;JOSÉ ANTONIO FERNANDES;45;PSDB;Eleito;1.516;54,55;SP;3503505
30;AREIÓPOLIS;Prefeito;JOSÉ PIO DE OLIVEIRA;13;PT;Eleito;3.35;51,25;SP;3503604
30;ARIRANHA;Prefeito;JOAMIR ROBERTO BARBOZA;14;PTB;Eleito;4.178;68,48;SP;3503703
30;ARTUR NOGUEIRA;Prefeito;MARCELO CAPELINI;13;PT;Eleito;8.423;39,39;SP;3503802
30;ARUJÁ;Prefeito;ABEL JOSE LARINI;22;PR;Eleito;24.5;59,65;SP;3503901
30;ASPÁSIA;Prefeito;ELIAS ROZ CANOS;45;PSDB;Eleito;1.012;69,32;SP;3503950
30;ASSIS;Prefeito;ÉZIO SPERA;25;DEM;Eleito;40.348;83,60;SP;3504008
30;ATIBAIA;Prefeito;JOSÉ BERNARDO DENIG;43;PV;Eleito;28.856;45,55;SP;3504107
