CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;AMPARO DE SÃO FRANCISCO;Prefeito;ATEVALDO VERÍSSIMO CARDOSO;40;PSB;Eleito;865;51,06;SE;2800100
30;AQUIDABÃ;Prefeito;MARCOS JOSÉ BARRETO;22;PR;Eleito;6.647;56,86;SE;2800209
30;ARACAJU;Prefeito;EDVALDO NOGUEIRA FILHO;65;PC do B;Eleito;140.962;51,72;SE;2800308
30;ARAUÁ;Prefeito;ANA HELENA ANDRADE COSTA;15;PMDB;Eleito;3.618;52,02;SE;2800407
30;AREIA BRANCA;Prefeito;AGREPINO ANDELINO SANTOS;20;PSC;Eleito;4.966;54,48;SE;2800506
30;BARRA DOS COQUEIROS;Prefeito;GILSON DOS ANJOS SILVA;25;DEM;Eleito;7.12;54,77;SE;2800605
30;BOQUIM;Prefeito;PEDRO BARBOSA NETO;15;PMDB;Eleito;8.446;55,01;SE;2800670
30;BREJO GRANDE;Prefeito;CARLOS AUGUSTO FERREIRA;40;PSB;Eleito;2.253;52,38;SE;2800704
30;CAMPO DO BRITO;Prefeito;MANOEL DE SOUZA;12;PDT;Eleito;5.056;47,51;SE;2801009
30;CANHOBA;Prefeito;REGINALDO GOMES DE ANDRADE;12;PDT;Eleito;1.7;55,81;SE;2801108
30;CANINDÉ DE SÃO FRANCISCO;Prefeito;ORLANDO PORTO DE ANDRADE;12;PDT;Eleito;7.361;53,45;SE;2801207
30;CAPELA;Prefeito;MANOEL MESSIAS SUKITA SANTOS;40;PSB;Eleito;12.588;81,35;SE;2801306
30;CARIRA;Prefeito;JOAO NUNES OLIVEIRA;12;PDT;Eleito;5.247;99,45;SE;2801405
30;CARMÓPOLIS;Prefeito;ESMERALDA MARA SILVA CRUZ;13;PT;Eleito;4.413;50,67;SE;2801504
30;CEDRO DE SÃO JOÃO;Prefeito;JAILTON SANTOS ROCHA;25;DEM;Eleito;1.832;47,72;SE;2801603
30;CRISTINÁPOLIS;Prefeito;RAIMUNDO DA SILVA LEAL;65;PC do B;Eleito;4.893;55,23;SE;2801702
30;CUMBE;Prefeito;MARIA TEREZINHA DE MOURA;20;PSC;Eleito;1.456;57,01;SE;2801900
30;DIVINA PASTORA;Prefeito;MARIA AUGUSTA LIMA SANTOS;14;PTB;Eleito;1.566;60,63;SE;2802007
30;ESTÂNCIA;Prefeito;IVAN SANTOS LEITE;45;PSDB;Eleito;19.04;59,06;SE;2802106
30;FEIRA NOVA;Prefeito;JOSE CARLOS DOS SANTOS;23;PPS;Eleito;1.888;50,31;SE;2802205
30;FREI PAULO;Prefeito;JOSÉ ARINALDO DE OLIVEIRA FILHO;25;DEM;Eleito;4.161;49,21;SE;2802304
30;GARARU;Prefeito;JOAO FRANCISCO ALBUQUERQUE DE OLIVEIRA;22;PR;Eleito;3.587;51,75;SE;2802403
30;GENERAL MAYNARD;Prefeito;JOSE EVANGELISTA DOS SANTOS FILHO;40;PSB;Eleito;1.018;59,81;SE;2802502
30;GRACCHO CARDOSO;Prefeito;MARIA CRIZABETE DOS SANTOS;12;PDT;Eleito;2.267;56,92;SE;#N/D
30;ILHA DAS FLORES;Prefeito;JOSÉ RONALDO GOMES CALIXTO;15;PMDB;Eleito;2.93;53,23;SE;2802700
30;INDIAROBA;Prefeito;JOÃO EDUARDO VIEGAS MENDONÇA DE ARAUJO;14;PTB;Eleito;5.258;63,39;SE;2802809
30;ITABAIANA;Prefeito;LUCIANO BISPO DE LIMA;15;PMDB;Eleito;26.371;52,92;SE;2802908
30;ITABAIANINHA;Prefeito;JOALDO LIMA DE CARVALHO;45;PSDB;Eleito;10.331;49,97;SE;2803005
30;ITABI;Prefeito;RUBENS FEITOSA MELO;12;PDT;Eleito;1.948;56,66;SE;2803104
30;ITAPORANGA D'AJUDA;Prefeito;CÉSAR FONSECA MANDARINO;20;PSC;Eleito;8.925;51,62;SE;2803203
30;JAPARATUBA;Prefeito;LARA ADRIANA VEIGA BARRETO FERREIRA;22;PR;Eleito;5.503;53,42;SE;2803302
30;JAPOATÃ;Prefeito;TELMO GUIMARÃES SANTOS;20;PSC;Eleito;3.467;44,44;SE;2803401
30;LAGARTO;Prefeito;JOSE VALMIR MONTEIRO;20;PSC;Eleito;25.132;50,18;SE;2803500
30;LARANJEIRAS;Prefeito;MARIA IONE MACEDO SOBRAL;14;PTB;Eleito;9.178;59,19;SE;2803609
30;MACAMBIRA;Prefeito;RICARDO ALVES DE MENESES SOUZA;12;PDT;Eleito;2.202;50,33;SE;2803708
30;MALHADA DOS BOIS;Prefeito;AUGUSTO CÉSAR AGUIAR DINÍZIO;20;PSC;Eleito;1.319;49,85;SE;2803807
30;MALHADOR;Prefeito;MARCOS ELAN ALVES DE ARAUJO;25;DEM;Eleito;2.656;100,00;SE;2803906
30;MARUIM;Prefeito;GILBERTO MAYNART DE OLIVEIRA;20;PSC;Eleito;4.998;54,44;SE;2804003
30;MOITA BONITA;Prefeito;GLORIA GRAZIELE DA COSTA;12;PDT;Eleito;3.798;55,01;SE;2804102
30;MONTE ALEGRE DE SERGIPE;Prefeito;JOÃO VIEIRA DE ARAGÃO;15;PMDB;Eleito;3.844;52,59;SE;2804201
30;MURIBECA;Prefeito;SANDRA MARIA DA SILVA CONSERVA;25;DEM;Eleito;1.923;38,64;SE;2804300
30;NEÓPOLIS;Prefeito;CARLOS ROBERTO GUEDES DE SOUZA;14;PTB;Eleito;6.014;54,01;SE;2804409
30;NOSSA SENHORA APARECIDA;Prefeito;ANTONIO BARRETO MUNIZ;15;PMDB;Eleito;2.792;52,32;SE;2804458
30;NOSSA SENHORA DA GLÓRIA;Prefeito;JOSE APARECIDO DIAS;40;PSB;Eleito;6.38;96,49;SE;2804508
30;NOSSA SENHORA DAS DORES;Prefeito;ALDON LUIZ DOS SANTOS;40;PSB;Eleito;6.237;44,75;SE;2804607
30;NOSSA SENHORA DE LOURDES;Prefeito;LAERTE GOMES DE ANDRADE;22;PR;Eleito;2.262;53,05;SE;2804706
30;NOSSA SENHORA DO SOCORRO;Prefeito;FABIO HENRIQUE SANTANA DE CARVALHO;12;PDT;Eleito;39.227;62,97;SE;2804805
30;PACATUBA;Prefeito;DIVA DE SANTANA MELO;15;PMDB;Eleito;3.31;39,35;SE;2804904
30;PEDRA MOLE;Prefeito;CLEVERTON SANTOS;13;PT;Eleito;1.078;52,79;SE;2805000
30;PEDRINHAS;Prefeito;JOSE ANTONIO SILVA ALVES;22;PR;Eleito;3.046;56,99;SE;2805109
30;PINHÃO;Prefeito;ERIVALDO OLIVEIRA DO NASCIMENTO;15;PMDB;Eleito;2.339;56,74;SE;2805208
30;PIRAMBU;Prefeito;JOSE NILTON DE SOUZA;15;PMDB;Eleito;2.734;50,62;SE;2805307
30;POÇO REDONDO;Prefeito;ENOQUE SALVADOR DE MELO;40;PSB;Eleito;7.016;54,98;SE;2805406
30;POÇO VERDE;Prefeito;ANTONIO DA FONSECA DOREA;40;PSB;Eleito;7.035;90,69;SE;2805505
30;PORTO DA FOLHA;Prefeito;MANOEL GOMES DE FREITAS;13;PT;Eleito;5.962;38,50;SE;2805604
30;PROPRIÁ;Prefeito;PAULO ROBERTO AYRES DE FREITAS BRITTO;13;PT;Eleito;8.458;53,82;SE;2805703
30;RIACHÃO DO DANTAS;Prefeito;LAELSON MENESES DA SILVA;70;PT do B;Eleito;7.271;60,42;SE;2805802
30;RIACHUELO;Prefeito;ANTONIO CARLOS LEITE FRANCO SOBRINHO;15;PMDB;Eleito;2.904;51,16;SE;2805901
30;RIBEIRÓPOLIS;Prefeito;EVANIRA NASCIMENTO BARRETO;40;PSB;Eleito;5.394;51,23;SE;2806008
30;ROSÁRIO DO CATETE;Prefeito;ETELVINO BARRETO SOBRINHO;15;PMDB;Eleito;2.836;51,80;SE;2806107
30;SALGADO;Prefeito;JANETE ALVES LIMA BARBOSA;15;PMDB;Eleito;5.683;53,83;SE;2806206
30;SANTA LUZIA DO ITANHY;Prefeito;ADAUTO DANTAS DO AMOR CARDOSO;40;PSB;Eleito;4.192;57,53;SE;2806305
30;SANTA ROSA DE LIMA;Prefeito;EDUARDO PRADO DE OLIVEIRA JUNIOR;14;PTB;Eleito;1.509;55,13;SE;2806503
30;SANTANA DO SÃO FRANCISCO;Prefeito;RICARDO JOSE RORIZ SILVA CRUZ;13;PT;Eleito;2.317;54,47;SE;2806404
30;SANTO AMARO DAS BROTAS;Prefeito;JOSÉ IVALDO COSTA;25;DEM;Eleito;3.144;51,60;SE;2806602
30;SÃO CRISTÓVÃO;Prefeito;ALEXSANDER OLIVEIRA DE ANDRADE;12;PDT;Eleito;21.261;57,87;SE;2806701
30;SÃO DOMINGOS;Prefeito;JOSE ROBSON MECENA;11;PP;Eleito;2.143;38,52;SE;2806800
30;SÃO FRANCISCO;Prefeito;AILTON NASCIMENTO;12;PDT;Eleito;1.303;55,17;SE;2806909
30;SÃO MIGUEL DO ALEIXO;Prefeito;MARIA OLIVEIRA LIMA DA CRUZ;12;PDT;Eleito;1.308;51,80;SE;2807006
30;SIMÃO DIAS;Prefeito;DENISSON DEDA DE AQUINO;40;PSB;Eleito;14.3;64,34;SE;2807105
30;SIRIRI;Prefeito;WALTER FRANCO PRADO;20;PSC;Eleito;2.778;58,67;SE;2807204
30;TELHA;Prefeito;ERIS DE MELO;15;PMDB;Eleito;1.196;53,51;SE;2807303
30;TOBIAS BARRETO;Prefeito;ADILSON DE JESUS SANTOS;13;PT;Eleito;16.993;62,24;SE;2807402
30;TOMAR DO GERU;Prefeito;JOSE ADELMO ALVES;12;PDT;Eleito;4.025;52,32;SE;2807501
30;UMBAÚBA;Prefeito;ANDERSON FONTES FARIAS;13;PT;Eleito;5.911;50,64;SE;2807600
