CodEleicao;Município;Cargo;Candidato;Nr;Partido;Situação;QtVN;%VV;UF;id_municipio
30;ABREULÂNDIA;Prefeito;GILMAR ELDO DE ANDRADE;25;DEM;Eleito;1.071;63,94;TO;1700251
30;AGUIARNÓPOLIS;Prefeito;JOSE RUBENS CABRAL;45;PSDB;Eleito;1.673;61,42;TO;1700301
30;ALIANÇA DO TOCANTINS;Prefeito;JOSÉ RODRIGUES DA SILVA;13;PT;Eleito;1.737;69,12;TO;1700350
30;ALMAS;Prefeito;LEONARDO SETTE CINTRA;45;PSDB;Eleito;1.999;49,58;TO;1700400
30;ALVORADA;Prefeito;REGINALDO MARTINS RODRIGUES;25;DEM;Eleito;2.567;50,82;TO;1700707
30;ANANÁS;Prefeito;MARINALVA SOARES BORGES;15;PMDB;Eleito;2.465;100,00;TO;1701002
30;ANGICO;Prefeito;DEUSDETE BORGES PEREIRA;11;PP;Eleito;1.089;51,03;TO;1701051
30;APARECIDA DO RIO NEGRO;Prefeito;PEDRO LUIZ DE CARVALHO NETO;14;PTB;Eleito;1.832;62,78;TO;1701101
30;ARAGOMINAS;Prefeito;ANTONIO MOTA;22;PR;Eleito;1.483;40,23;TO;1701309
30;ARAGUACEMA;Prefeito;JOAO PAULO RIBEIRO FILHO;25;DEM;Eleito;1.412;39,12;TO;1701903
30;ARAGUAÇU;Prefeito;WALTYR ROCHA SANTOS SANTANA;25;DEM;Eleito;3.196;55,98;TO;1702000
30;ARAGUAÍNA;Prefeito;FELIX VALUAR DE SOUSA BARROS;25;DEM;Eleito;35.798;52,46;TO;1702109
30;ARAGUANÃ;Prefeito;NORALDINO MATEUS FONSECA;15;PMDB;Eleito;2.239;61,73;TO;1702158
30;ARAGUATINS;Prefeito;FRANCISCO DA ROCHA MIRANDA;15;PMDB;Eleito;7.885;92,08;TO;1702208
30;ARAPOEMA;Prefeito;BALTAZAR RODRIGUES;22;PR;Eleito;2.885;66,03;TO;1702307
30;ARRAIAS;Prefeito;ANTONIO WAGNER BARBOSA GENTIL;25;DEM;Eleito;3.465;63,55;TO;1702406
30;AUGUSTINÓPOLIS;Prefeito;ANTONIO CAYRES DE ALMEIDA;45;PSDB;Eleito;4.207;50,15;TO;1702554
30;AURORA DO TOCANTINS;Prefeito;DIONAL VIEIRA DE SENA;15;PMDB;Eleito;1.297;51,71;TO;1702703
30;AXIXÁ DO TOCANTINS;Prefeito;RUIDIARD DE SOUSA BRITO;13;PT;Eleito;3.94;59,86;TO;1702901
30;BABAÇULÂNDIA;Prefeito;ALCIDES FILHO RODRIGUES;22;PR;Eleito;2.317;43,52;TO;1703008
30;BANDEIRANTES DO TOCANTINS;Prefeito;CORACI LIMA MARQUES;22;PR;Eleito;1.047;48,29;TO;1703057
30;BARRA DO OURO;Prefeito;GILMAR RIBEIRO CAVALCANTE;15;PMDB;Eleito;1.403;56,01;TO;1703073
30;BARROLÂNDIA;Prefeito;CLEDIOMAR JOSE RIBEIRO;25;DEM;Eleito;2.426;56,70;TO;1703107
30;BERNARDO SAYÃO;Prefeito;MARIA BENTA DE MELLO AZEVEDO;15;PMDB;Eleito;1.691;58,37;TO;1703206
30;BOM JESUS DO TOCANTINS;Prefeito;JAIRTON CASTRO DA SILVA;25;DEM;Eleito;1.154;62,48;TO;1703305
30;BRASILÂNDIA DO TOCANTINS;Prefeito;JOAO EMIDIO FELIPE DE MIRANDA;25;DEM;Eleito;1.314;80,96;TO;1703602
30;BREJINHO DE NAZARÉ;Prefeito;MIYUKI HYASHIDA;25;DEM;Eleito;1.876;58,86;TO;1703701
30;BURITI DO TOCANTINS;Prefeito;ALVIMAR CAYRES  ALMEIDA;14;PTB;Eleito;3.3;75,76;TO;1703800
30;CACHOEIRINHA;Prefeito;ZELIO HERCULANO DE CASTRO;22;PR;Eleito;732;46,42;TO;1703826
30;CAMPOS LINDOS;Prefeito;JORLENIO MENEZES SANTOS;15;PMDB;Eleito;2.04;50,14;TO;1703842
30;CARIRI DO TOCANTINS;Prefeito;ALMIR AUGUSTO DE LIMA;15;PMDB;Eleito;979;44,95;TO;1703867
30;CARMOLÂNDIA;Prefeito;JOAO HOLANDA LEITE;22;PR;Eleito;1.083;54,53;TO;1703883
30;CARRASCO BONITO;Prefeito;CLAUDEMI VIRGILIO DA SILVA;11;PP;Eleito;1.439;59,34;TO;1703891
30;CASEARA;Prefeito;VALTER FERREIRA SANTANA;15;PMDB;Eleito;1.73;60,92;TO;1703909
30;CENTENÁRIO;Prefeito;ANTÔNIO DOS REIS DA SILVA FIGUEREDO;25;DEM;Eleito;1.025;54,23;TO;1704105
30;CHAPADA DA NATIVIDADE;Prefeito;DJALMA CARNEIRO RIOS;15;PMDB;Eleito;1.67;61,60;TO;1705102
30;CHAPADA DE AREIA;Prefeito;JOÃO JOSE DE SOUSA MILHOMEM;22;PR;Eleito;804;56,50;TO;1704600
30;COLINAS DO TOCANTINS;Prefeito;JOSÉ SANTANA NETO;13;PT;Eleito;6.619;40,55;TO;1705508
30;COLMÉIA;Prefeito;ERMILSON PEREIRA DA SILVA;13;PT;Eleito;2.094;37,74;TO;1716703
30;COMBINADO;Prefeito;MANOEL REBOUÇAS DE OLIVEIRA;45;PSDB;Eleito;1.517;50,47;TO;1705557
30;CONCEIÇÃO DO TOCANTINS;Prefeito;NATACÍLIO CURCINO RIBEIRO;45;PSDB;Eleito;1.049;38,95;TO;1705607
30;COUTO DE MAGALHÃES;Prefeito;JÚLIO CÉSAR RAMOS BRASIL;13;PT;Eleito;1.453;53,22;TO;#N/D
30;CRISTALÂNDIA;Prefeito;CLARISMINDO MODESTO DINIZ;45;PSDB;Eleito;1.618;37,14;TO;1706100
30;CRIXÁS DO TOCANTINS;Prefeito;SILVÂNIO MACHADO ROCHA;25;DEM;Eleito;714;53,28;TO;1706258
30;DARCINÓPOLIS;Prefeito;ANTONIO MARIA AROUCA;15;PMDB;Eleito;1.836;61,43;TO;1706506
30;DIANÓPOLIS;Prefeito;JOSÉ SALOMÃO JACOBINA AIRES;13;PT;Eleito;5.537;63,35;TO;1707009
30;DIVINÓPOLIS DO TOCANTINS;Prefeito;EDIMAR ALVES DE SÁ;14;PTB;Eleito;2.247;55,01;TO;1707108
30;DOIS IRMÃOS DO TOCANTINS;Prefeito;JOÃO CARLOS BOTELHO MARTINS;25;DEM;Eleito;2.617;59,76;TO;1707207
30;DUERÉ;Prefeito;NELIO RODRIGUES LOPES DE ARAUJO;40;PSB;Eleito;1.401;48,83;TO;1707306
30;ESPERANTINA;Prefeito;GENECI PERPÉTUA DOS SANTOS ALMEIDA;22;PR;Eleito;1.543;34,49;TO;1707405
30;FÁTIMA;Prefeito;LUIZ SARDINHA MOURÃO;13;PT;Eleito;1.503;53,54;TO;1707553
